File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001KJC	bam	alignments	ENCSR000CFQ	ChIP-seq	UBERON:0002113	kidney	tissue	adult	male	8 week	Mus musculus					H3K36me3-mouse	ENCAB000ADV	DNA		see document	see document		False	2012-09-05	ENCODE				1							ENCFF001KJK	1466702474	Bing Ren, UCSD	22c0e0e827f835b2de7237e9ddde2cf1		https://www.encodeproject.org/files/ENCFF001KJC/@@download/ENCFF001KJC.bam	mm9			released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	missing unfiltered alignments	control insufficient read depth, insufficient read depth	control extremely low read depth
ENCFF001KJD	bam	alignments	ENCSR000CFQ	ChIP-seq	UBERON:0002113	kidney	tissue	adult	male	8 week	Mus musculus					H3K36me3-mouse	ENCAB000ADV	DNA		see document	see document		False	2012-09-05	ENCODE				2							ENCFF001KJM	1494854147	Bing Ren, UCSD	3aac4f47e78fa7edd67aaeba3d80391b		https://www.encodeproject.org/files/ENCFF001KJD/@@download/ENCFF001KJD.bam	mm9			released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	missing unfiltered alignments	control insufficient read depth, insufficient read depth	control extremely low read depth
ENCFF746MBY	bam	unfiltered alignments	ENCSR000CFQ	ChIP-seq	UBERON:0002113	kidney	tissue	adult	male	8 week	Mus musculus					H3K36me3-mouse	ENCAB000ADV	DNA		see document	see document		False	2012-09-05	ENCODE				2			36				ENCFF001KJM, ENCFF018NEO	1610129814	ENCODE Processing Pipeline	1f7364345212374d734122292c747c35		https://www.encodeproject.org/files/ENCFF746MBY/@@download/ENCFF746MBY.bam	mm10			released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	missing unfiltered alignments	control insufficient read depth, insufficient read depth	control extremely low read depth
ENCFF658OSS	bam	unfiltered alignments	ENCSR000CFQ	ChIP-seq	UBERON:0002113	kidney	tissue	adult	male	8 week	Mus musculus					H3K36me3-mouse	ENCAB000ADV	DNA		see document	see document		False	2012-09-05	ENCODE				1			36				ENCFF001KJK, ENCFF018NEO	1585517855	ENCODE Processing Pipeline	a53f6aee5898ba5248fff672a4107e3f		https://www.encodeproject.org/files/ENCFF658OSS/@@download/ENCFF658OSS.bam	mm10			released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	missing unfiltered alignments	control insufficient read depth, insufficient read depth	control extremely low read depth
ENCFF598VTL	bam	alignments	ENCSR000CFQ	ChIP-seq	UBERON:0002113	kidney	tissue	adult	male	8 week	Mus musculus					H3K36me3-mouse	ENCAB000ADV	DNA		see document	see document		False	2012-09-05	ENCODE				2			36				ENCFF001KJM, ENCFF018NEO	906808439	ENCODE Processing Pipeline	6714ca2a30e4309b0976f636472b9255		https://www.encodeproject.org/files/ENCFF598VTL/@@download/ENCFF598VTL.bam	mm10			released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	missing unfiltered alignments	control insufficient read depth, insufficient read depth	control extremely low read depth
ENCFF339VPQ	bam	alignments	ENCSR000CFQ	ChIP-seq	UBERON:0002113	kidney	tissue	adult	male	8 week	Mus musculus					H3K36me3-mouse	ENCAB000ADV	DNA		see document	see document		False	2012-09-05	ENCODE				1			36				ENCFF001KJK, ENCFF018NEO	874743651	ENCODE Processing Pipeline	62dae6deb83934994a9d29920f364f26		https://www.encodeproject.org/files/ENCFF339VPQ/@@download/ENCFF339VPQ.bam	mm10			released	mild to moderate bottlenecking, low read length, moderate library complexity, inconsistent platforms	missing unfiltered alignments	control insufficient read depth, insufficient read depth	control extremely low read depth
ENCFF001IXT	bam	alignments	ENCSR000BYR	RNA-seq	UBERON:0002113	kidney	tissue	adult	mixed	8 week	Mus musculus							polyadenylated mRNA	rRNA	see document	see document		True	2012-02-29	ENCODE				1							ENCFF001IWX, ENCFF001IWY, ENCFF001IWZ, ENCFF001IXD, ENCFF001IXE, ENCFF001IXF	10589133649	Thomas Gingeras, CSHL	e3e141f50c6d15ebcd22218a7d8bb2f1		https://www.encodeproject.org/files/ENCFF001IXT/@@download/ENCFF001IXT.bam	mm9			archived				
ENCFF001IYB	bam	alignments	ENCSR000BYR	RNA-seq	UBERON:0002113	kidney	tissue	adult	mixed	8 week	Mus musculus							polyadenylated mRNA	rRNA	see document	see document		True	2012-02-29	ENCODE				2							ENCFF001IXA, ENCFF001IXB, ENCFF001IXC, ENCFF001IXG, ENCFF001IXH, ENCFF001IXI	12917870303	Thomas Gingeras, CSHL	c5bfa1248e1b5fec7c0038aaea1e97a6		https://www.encodeproject.org/files/ENCFF001IYB/@@download/ENCFF001IYB.bam	mm9			archived				
ENCFF762MTL	bam	alignments	ENCSR000BYR	RNA-seq	UBERON:0002113	kidney	tissue	adult	mixed	8 week	Mus musculus							polyadenylated mRNA	rRNA	see document	see document		True	2012-02-29	ENCODE				1							ENCFF001IWX, ENCFF001IWY, ENCFF001IWZ, ENCFF001IXD, ENCFF001IXE, ENCFF001IXF, ENCFF268IGM	12094948914	ENCODE Processing Pipeline	4217d62f311c43d720a636448b698651		https://www.encodeproject.org/files/ENCFF762MTL/@@download/ENCFF762MTL.bam	mm10-minimal			archived				
ENCFF902MOM	bam	alignments	ENCSR000BYR	RNA-seq	UBERON:0002113	kidney	tissue	adult	mixed	8 week	Mus musculus							polyadenylated mRNA	rRNA	see document	see document		True	2012-02-29	ENCODE				2							ENCFF001IXA, ENCFF001IXB, ENCFF001IXC, ENCFF001IXG, ENCFF001IXH, ENCFF001IXI, ENCFF268IGM	14533330822	ENCODE Processing Pipeline	73171d4e4470f7e547aea2dbedfc2035		https://www.encodeproject.org/files/ENCFF902MOM/@@download/ENCFF902MOM.bam	mm10-minimal			archived				
ENCFF723TJR	bam	alignments	ENCSR000BYR	RNA-seq	UBERON:0002113	kidney	tissue	adult	mixed	8 week	Mus musculus							polyadenylated mRNA	rRNA	see document	see document		True	2012-02-29	ENCODE				1							ENCFF001IWX, ENCFF001IWY, ENCFF001IWZ, ENCFF001IXD, ENCFF001IXE, ENCFF001IXF, ENCFF483PAE	14891167549	ENCODE Processing Pipeline	187dad0c5ddaacd8747a885ee9e8d6b2		https://www.encodeproject.org/files/ENCFF723TJR/@@download/ENCFF723TJR.bam	mm10-minimal			archived				
ENCFF041SUX	bam	transcriptome alignments	ENCSR000BYR	RNA-seq	UBERON:0002113	kidney	tissue	adult	mixed	8 week	Mus musculus							polyadenylated mRNA	rRNA	see document	see document		True	2012-02-29	ENCODE				1							ENCFF001IWX, ENCFF001IWY, ENCFF001IWZ, ENCFF001IXD, ENCFF001IXE, ENCFF001IXF, ENCFF483PAE	14805305465	ENCODE Processing Pipeline	17b46cdf99c8ac6cd96020b11f1aa2b3		https://www.encodeproject.org/files/ENCFF041SUX/@@download/ENCFF041SUX.bam	mm10-minimal			archived				
ENCFF703LHC	bam	alignments	ENCSR000BYR	RNA-seq	UBERON:0002113	kidney	tissue	adult	mixed	8 week	Mus musculus							polyadenylated mRNA	rRNA	see document	see document		True	2012-02-29	ENCODE				2							ENCFF001IXA, ENCFF001IXB, ENCFF001IXC, ENCFF001IXG, ENCFF001IXH, ENCFF001IXI, ENCFF483PAE	17930882862	ENCODE Processing Pipeline	49bc47f051eef01cefa8fc976342e688		https://www.encodeproject.org/files/ENCFF703LHC/@@download/ENCFF703LHC.bam	mm10-minimal			archived				
