File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001QPP	bam	alignments	ENCSR000CLO	RNA-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus							polyadenylated mRNA		see document	see document		False	2012-07-10	ENCODE				1							ENCFF001QQC, ENCFF001QQD	2531438455	John Stamatoyannopoulos, UW	800233a28ddd873546ce800bdd43d3e7		https://www.encodeproject.org/files/ENCFF001QPP/@@download/ENCFF001QPP.bam	mm9			archived		biological replicates with identical biosample		
ENCFF001QPS	bam	alignments	ENCSR000CLO	RNA-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus							polyadenylated mRNA		see document	see document		False	2012-07-10	ENCODE				2							ENCFF001QQK	3238665786	John Stamatoyannopoulos, UW	3d99cf3047ada4bc7a10f85fc25b1c60		https://www.encodeproject.org/files/ENCFF001QPS/@@download/ENCFF001QPS.bam	mm9			archived		biological replicates with identical biosample		
ENCFF001QPW	bam	alignments	ENCSR000CLO	RNA-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus							polyadenylated mRNA		see document	see document		False	2012-07-10	ENCODE				3							ENCFF001QQL	2812464054	John Stamatoyannopoulos, UW	0902eca75035b45b5e255b04a5825192		https://www.encodeproject.org/files/ENCFF001QPW/@@download/ENCFF001QPW.bam	mm9			archived		biological replicates with identical biosample		
ENCFF001QPZ	bam	alignments	ENCSR000CLO	RNA-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus							polyadenylated mRNA		see document	see document		False	2012-07-10	ENCODE				4							ENCFF001QQE, ENCFF001QQF	3110862736	John Stamatoyannopoulos, UW	a679d5ca11112f0a2340a8b692120ce7		https://www.encodeproject.org/files/ENCFF001QPZ/@@download/ENCFF001QPZ.bam	mm9			archived		biological replicates with identical biosample		
ENCFF001KNK	bam	alignments	ENCSR000CAX	ChIP-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus					Control-mouse		DNA		see document	see document		False	2011-07-22	ENCODE				1							ENCFF001KNX	408574634	Bing Ren, UCSD	ee983fbbd5293110bff191971595f5f9		https://www.encodeproject.org/files/ENCFF001KNK/@@download/ENCFF001KNK.bam	mm9			released	low read length, low read depth	missing unfiltered alignments	insufficient read depth	
ENCFF001KNN	bam	alignments	ENCSR000CAX	ChIP-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus					Control-mouse		DNA		see document	see document		False	2011-07-22	ENCODE				2							ENCFF001KNY	677316777	Bing Ren, UCSD	17c647f8a2a92a14300da8de1b49a769		https://www.encodeproject.org/files/ENCFF001KNN/@@download/ENCFF001KNN.bam	mm9			released	low read length, low read depth	missing unfiltered alignments	insufficient read depth	
ENCFF321VSJ	bam	unfiltered alignments	ENCSR000CAX	ChIP-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus					Control-mouse		DNA		see document	see document		False	2011-07-22	ENCODE				2							ENCFF001KNY, ENCFF806TVZ	955518783	J. Michael Cherry, Stanford	ad5d3701d2ccd89a90399c37ae0bbfd7		https://www.encodeproject.org/files/ENCFF321VSJ/@@download/ENCFF321VSJ.bam	mm10-minimal			archived	low read length, low read depth	missing unfiltered alignments	insufficient read depth	
ENCFF948LSP	bam	unfiltered alignments	ENCSR000CAX	ChIP-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus					Control-mouse		DNA		see document	see document		False	2011-07-22	ENCODE				1							ENCFF001KNX, ENCFF806TVZ	957554218	J. Michael Cherry, Stanford	6ee7ada8f417191cd2a7ec2738a00efa		https://www.encodeproject.org/files/ENCFF948LSP/@@download/ENCFF948LSP.bam	mm10-minimal			archived	low read length, low read depth	missing unfiltered alignments	insufficient read depth	
ENCFF465JMB	bam	alignments	ENCSR000CAX	ChIP-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus					Control-mouse		DNA		see document	see document		False	2011-07-22	ENCODE				2			36				ENCFF001KNY, ENCFF018NEO	512864755	ENCODE Processing Pipeline	31d9a2fa334175e48aa6073192ed0a2e		https://www.encodeproject.org/files/ENCFF465JMB/@@download/ENCFF465JMB.bam	mm10			released	low read length, low read depth	missing unfiltered alignments	insufficient read depth	
ENCFF515GCB	bam	alignments	ENCSR000CAX	ChIP-seq	UBERON:0002107	liver	tissue	adult	male	8 week	Mus musculus					Control-mouse		DNA		see document	see document		False	2011-07-22	ENCODE				1			36				ENCFF001KNX, ENCFF018NEO	416651403	ENCODE Processing Pipeline	a40d3aa48f5392616ea46d81577dca9d		https://www.encodeproject.org/files/ENCFF515GCB/@@download/ENCFF515GCB.bam	mm10			released	low read length, low read depth	missing unfiltered alignments	insufficient read depth	
