File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF389SFZ	bam	alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				2							ENCFF126IRS, ENCFF268IGM, ENCFF748SRJ	3322162888	ENCODE Processing Pipeline	a94048ace4f60f1c7b47835ec66a1b5d		https://www.encodeproject.org/files/ENCFF389SFZ/@@download/ENCFF389SFZ.bam	mm10-minimal			archived				
ENCFF326FGG	bam	alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				1							ENCFF268IGM, ENCFF270GKY, ENCFF460TCF	3926969360	ENCODE Processing Pipeline	2fce8c15cea658f0d2dbc8c2c18262b8		https://www.encodeproject.org/files/ENCFF326FGG/@@download/ENCFF326FGG.bam	mm10-minimal			archived				
ENCFF585ZYC	bam	alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				2							ENCFF126IRS, ENCFF518RJA, ENCFF748SRJ	4194684209	ENCODE Processing Pipeline	2dc851cffbc31991c462f9e1b67b9340		https://www.encodeproject.org/files/ENCFF585ZYC/@@download/ENCFF585ZYC.bam	mm10-minimal			archived				
ENCFF412DFV	bam	alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				1							ENCFF270GKY, ENCFF460TCF, ENCFF518RJA	5044411954	ENCODE Processing Pipeline	a2d8099917bdf365928f5da2ea0b2e4c		https://www.encodeproject.org/files/ENCFF412DFV/@@download/ENCFF412DFV.bam	mm10-minimal			archived				
ENCFF771GDV	bam	transcriptome alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				1							ENCFF270GKY, ENCFF460TCF, ENCFF518RJA	4578817299	ENCODE Processing Pipeline	eb87621e45d6a68c047383e52e85fd19		https://www.encodeproject.org/files/ENCFF771GDV/@@download/ENCFF771GDV.bam	mm10-minimal			archived				
ENCFF164KLS	bam	transcriptome alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				2							ENCFF126IRS, ENCFF518RJA, ENCFF748SRJ	3763553185	ENCODE Processing Pipeline	fa7f9697e3cfc4f253f991dfd8b6cc14		https://www.encodeproject.org/files/ENCFF164KLS/@@download/ENCFF164KLS.bam	mm10-minimal			archived				
ENCFF698PGS	bam	alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				1							ENCFF270GKY, ENCFF460TCF, ENCFF533JRE	5046155644	ENCODE Processing Pipeline	ce34d22ab4c68038be616f1484ecced9		https://www.encodeproject.org/files/ENCFF698PGS/@@download/ENCFF698PGS.bam	mm10			released				
ENCFF061IXZ	bam	transcriptome alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				1							ENCFF270GKY, ENCFF460TCF, ENCFF533JRE	4658010924	ENCODE Processing Pipeline	ef8e7eebc80fcf9249f35f9ba35ddaec		https://www.encodeproject.org/files/ENCFF061IXZ/@@download/ENCFF061IXZ.bam	mm10			released				
ENCFF826NAG	bam	alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				2							ENCFF126IRS, ENCFF533JRE, ENCFF748SRJ	4196142741	ENCODE Processing Pipeline	2fd02fdbf82033bf49a6cdf9973cb2e6		https://www.encodeproject.org/files/ENCFF826NAG/@@download/ENCFF826NAG.bam	mm10			released				
ENCFF628IIK	bam	transcriptome alignments	ENCSR185LWM	RNA-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	14.5 day	Mus musculus							RNA		Ambion mirVana	Ambion mirVana		False	2014-12-17	ENCODE				2							ENCFF126IRS, ENCFF533JRE, ENCFF748SRJ	3829077496	ENCODE Processing Pipeline	7fa72c533b809bd13bbcd86146a9e0e4		https://www.encodeproject.org/files/ENCFF628IIK/@@download/ENCFF628IIK.bam	mm10			released				
ENCFF412SLM	bam	alignments	ENCSR835BZO	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-06-23	ENCODE				1							ENCFF596BNN, ENCFF806TVZ	1730625659	ENCODE Processing Pipeline	40f57885c0d67ac8bf44ec54c7c7837f		https://www.encodeproject.org/files/ENCFF412SLM/@@download/ENCFF412SLM.bam	mm10-minimal			archived	inconsistent platforms, mild to moderate bottlenecking			
ENCFF435WKO	bam	alignments	ENCSR835BZO	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-06-23	ENCODE				2							ENCFF053SSJ, ENCFF806TVZ	1687289447	ENCODE Processing Pipeline	67f52c1506f6b303088a3918dbd228f6		https://www.encodeproject.org/files/ENCFF435WKO/@@download/ENCFF435WKO.bam	mm10-minimal			archived	inconsistent platforms, mild to moderate bottlenecking			
ENCFF089DAZ	bam	unfiltered alignments	ENCSR835BZO	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-06-23	ENCODE				2			50				ENCFF018NEO, ENCFF053SSJ	2583491321	ENCODE Processing Pipeline	e90163bd4bba17c8aaae033cd066c7ca		https://www.encodeproject.org/files/ENCFF089DAZ/@@download/ENCFF089DAZ.bam	mm10			released	inconsistent platforms, mild to moderate bottlenecking			
ENCFF273MPF	bam	unfiltered alignments	ENCSR835BZO	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-06-23	ENCODE				1			50				ENCFF018NEO, ENCFF596BNN	2580345369	ENCODE Processing Pipeline	78bd5231ef122b24b7a7e80d31424993		https://www.encodeproject.org/files/ENCFF273MPF/@@download/ENCFF273MPF.bam	mm10			released	inconsistent platforms, mild to moderate bottlenecking			
ENCFF119USK	bam	alignments	ENCSR835BZO	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-06-23	ENCODE				1			50				ENCFF018NEO, ENCFF596BNN	1730188053	ENCODE Processing Pipeline	bb669b8787d16d6e8d5a2c66c736530e		https://www.encodeproject.org/files/ENCFF119USK/@@download/ENCFF119USK.bam	mm10			released	inconsistent platforms, mild to moderate bottlenecking			
ENCFF920CYN	bam	alignments	ENCSR835BZO	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-06-23	ENCODE				2			50				ENCFF018NEO, ENCFF053SSJ	1686922579	ENCODE Processing Pipeline	119d0192b1f14319a55f15fee6384552		https://www.encodeproject.org/files/ENCFF920CYN/@@download/ENCFF920CYN.bam	mm10			released	inconsistent platforms, mild to moderate bottlenecking			
ENCFF923GVJ	bam	alignments	ENCSR496TBX	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1							ENCFF388QNU, ENCFF806TVZ	2836242397	ENCODE Processing Pipeline	94fad45262635c5489f6fb3dfe96b305		https://www.encodeproject.org/files/ENCFF923GVJ/@@download/ENCFF923GVJ.bam	mm10-minimal			archived	inconsistent platforms			
ENCFF500HXC	bam	alignments	ENCSR496TBX	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2							ENCFF106YCA, ENCFF806TVZ	2768616190	ENCODE Processing Pipeline	19e130f3b156797385a6fc184ccaf16d		https://www.encodeproject.org/files/ENCFF500HXC/@@download/ENCFF500HXC.bam	mm10-minimal			archived	inconsistent platforms			
ENCFF095WWH	bam	unfiltered alignments	ENCSR496TBX	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2			50				ENCFF018NEO, ENCFF106YCA	3574561100	ENCODE Processing Pipeline	700adc2157abdfb37cb62bb9cebed25b		https://www.encodeproject.org/files/ENCFF095WWH/@@download/ENCFF095WWH.bam	mm10			released	inconsistent platforms			
ENCFF530HYD	bam	unfiltered alignments	ENCSR496TBX	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1			50				ENCFF018NEO, ENCFF388QNU	3673593909	ENCODE Processing Pipeline	02a56fad6889ad2864b738931b6414a1		https://www.encodeproject.org/files/ENCFF530HYD/@@download/ENCFF530HYD.bam	mm10			released	inconsistent platforms			
ENCFF043ECE	bam	alignments	ENCSR496TBX	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2			50				ENCFF018NEO, ENCFF106YCA	2768116083	ENCODE Processing Pipeline	c402e271369a4dd48d1c11ad64144da8		https://www.encodeproject.org/files/ENCFF043ECE/@@download/ENCFF043ECE.bam	mm10			released	inconsistent platforms			
ENCFF874VSN	bam	alignments	ENCSR496TBX	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1			50				ENCFF018NEO, ENCFF388QNU	2835673796	ENCODE Processing Pipeline	4715e10f155a974808865abd5969690b		https://www.encodeproject.org/files/ENCFF874VSN/@@download/ENCFF874VSN.bam	mm10			released	inconsistent platforms			
ENCFF405FUG	bam	unfiltered alignments	ENCSR825ZJV	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	10.5 day	Mus musculus					H3K27ac-mouse	ENCAB088TFM	DNA			SDS		False	2016-07-19	ENCODE				1							ENCFF018NEO, ENCFF616SZN	3198828445	ENCODE Processing Pipeline	00ef6c402635627e1969bff84ec6a3d6		https://www.encodeproject.org/files/ENCFF405FUG/@@download/ENCFF405FUG.bam	mm10			released	mild to moderate bottlenecking			
ENCFF015WJQ	bam	unfiltered alignments	ENCSR825ZJV	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	10.5 day	Mus musculus					H3K27ac-mouse	ENCAB088TFM	DNA			SDS		False	2016-07-19	ENCODE				2							ENCFF018NEO, ENCFF643VUJ	2374232001	ENCODE Processing Pipeline	4f11bea92a9670d645418a79e81b4bd6		https://www.encodeproject.org/files/ENCFF015WJQ/@@download/ENCFF015WJQ.bam	mm10			released	mild to moderate bottlenecking			
ENCFF722INF	bam	alignments	ENCSR825ZJV	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	10.5 day	Mus musculus					H3K27ac-mouse	ENCAB088TFM	DNA			SDS		False	2016-07-19	ENCODE				2							ENCFF018NEO, ENCFF643VUJ	1834008070	ENCODE Processing Pipeline	42e713e17cacf11a1df1510a9d9c9a42		https://www.encodeproject.org/files/ENCFF722INF/@@download/ENCFF722INF.bam	mm10			released	mild to moderate bottlenecking			
ENCFF328STI	bam	alignments	ENCSR825ZJV	ChIP-seq	UBERON:0001890	forebrain	tissue	embryonic	mixed	10.5 day	Mus musculus					H3K27ac-mouse	ENCAB088TFM	DNA			SDS		False	2016-07-19	ENCODE				1							ENCFF018NEO, ENCFF616SZN	2413252939	ENCODE Processing Pipeline	37a3765c0be7402a2b12d84dff84f94e		https://www.encodeproject.org/files/ENCFF328STI/@@download/ENCFF328STI.bam	mm10			released	mild to moderate bottlenecking			
