File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001KII	bam	alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF001KIO	319503123	Bing Ren, UCSD	01590075cc54e922611412c277c2e9b1		https://www.encodeproject.org/files/ENCFF001KII/@@download/ENCFF001KII.bam	mm9			released	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF001KIJ	bam	alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				2							ENCFF001KIU	295510618	Bing Ren, UCSD	0e990adaecdfb1d26b3b4510b2ec876c		https://www.encodeproject.org/files/ENCFF001KIJ/@@download/ENCFF001KIJ.bam	mm9			released	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF961XGJ	bam	unfiltered alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				2							ENCFF001KIU, ENCFF806TVZ	455676432	J. Michael Cherry, Stanford	76d48e400ad2e469bb9f37ac9443f483		https://www.encodeproject.org/files/ENCFF961XGJ/@@download/ENCFF961XGJ.bam	mm10-minimal			archived	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF730AAO	bam	unfiltered alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF001KIO, ENCFF806TVZ	548989328	J. Michael Cherry, Stanford	13eb533066b5753ea167144194851683		https://www.encodeproject.org/files/ENCFF730AAO/@@download/ENCFF730AAO.bam	mm10-minimal			archived	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF419RGB	bam	alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF001KIO, ENCFF806TVZ	371112873	ENCODE Processing Pipeline	20a39fd2fe802bf29e8749426643ecc9		https://www.encodeproject.org/files/ENCFF419RGB/@@download/ENCFF419RGB.bam	mm10-minimal			archived	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF452QHE	bam	alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				2							ENCFF001KIU, ENCFF806TVZ	316332156	ENCODE Processing Pipeline	c0f99c1c76e597dd760fb4e65dba75bb		https://www.encodeproject.org/files/ENCFF452QHE/@@download/ENCFF452QHE.bam	mm10-minimal			archived	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF413NSB	bam	unfiltered alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				2			36				ENCFF001KIU, ENCFF018NEO	456573493	ENCODE Processing Pipeline	0ba48dc854eb1dfd472fe2c6c6daace6		https://www.encodeproject.org/files/ENCFF413NSB/@@download/ENCFF413NSB.bam	mm10			released	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF632ZRO	bam	unfiltered alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				1			36				ENCFF001KIO, ENCFF018NEO	549826128	ENCODE Processing Pipeline	b093c086cd8080686d96883d777955fc		https://www.encodeproject.org/files/ENCFF632ZRO/@@download/ENCFF632ZRO.bam	mm10			released	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF951GMQ	bam	alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				1			36				ENCFF001KIO, ENCFF018NEO	370975011	ENCODE Processing Pipeline	88309e602fc21251e8965c75bbb710d7		https://www.encodeproject.org/files/ENCFF951GMQ/@@download/ENCFF951GMQ.bam	mm10			released	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF842YLI	bam	alignments	ENCSR000CDN	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	14.5 day	Mus musculus					Control-mouse		DNA		see document	see document		False	2012-03-28	ENCODE				2			36				ENCFF001KIU, ENCFF018NEO	316213662	ENCODE Processing Pipeline	14d4eb6d99bc489f97cef069bcca94c0		https://www.encodeproject.org/files/ENCFF842YLI/@@download/ENCFF842YLI.bam	mm10			released	low read length	missing unfiltered alignments	insufficient read depth	
ENCFF774SMG	bam	alignments	ENCSR557SVH	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-04-22	ENCODE				2							ENCFF798YAA, ENCFF806TVZ	1471847263	ENCODE Processing Pipeline	17b6cef63dcf16e7a11991b7dbd21b62		https://www.encodeproject.org/files/ENCFF774SMG/@@download/ENCFF774SMG.bam	mm10-minimal			archived	mild to moderate bottlenecking			
ENCFF003MDP	bam	alignments	ENCSR557SVH	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-04-22	ENCODE				1							ENCFF527DSY, ENCFF806TVZ	1665172881	ENCODE Processing Pipeline	4b6d17c9931f9c0a07b455c036a604d9		https://www.encodeproject.org/files/ENCFF003MDP/@@download/ENCFF003MDP.bam	mm10-minimal			archived	mild to moderate bottlenecking			
ENCFF281EDN	bam	unfiltered alignments	ENCSR557SVH	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-04-22	ENCODE				1			50				ENCFF018NEO, ENCFF527DSY	3547887589	ENCODE Processing Pipeline	c78cf7084da2fd94c7ac3cdcb2e88a7c		https://www.encodeproject.org/files/ENCFF281EDN/@@download/ENCFF281EDN.bam	mm10			released	mild to moderate bottlenecking			
ENCFF390DHC	bam	unfiltered alignments	ENCSR557SVH	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-04-22	ENCODE				2			50				ENCFF018NEO, ENCFF798YAA	2980897738	ENCODE Processing Pipeline	343eebe2ec222c952b23fba80cbeaf14		https://www.encodeproject.org/files/ENCFF390DHC/@@download/ENCFF390DHC.bam	mm10			released	mild to moderate bottlenecking			
ENCFF967OXL	bam	alignments	ENCSR557SVH	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-04-22	ENCODE				1			50				ENCFF018NEO, ENCFF527DSY	1664379239	ENCODE Processing Pipeline	fe94d03392975da42821da5f8b8d22a8		https://www.encodeproject.org/files/ENCFF967OXL/@@download/ENCFF967OXL.bam	mm10			released	mild to moderate bottlenecking			
ENCFF217WVV	bam	alignments	ENCSR557SVH	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-04-22	ENCODE				2			50				ENCFF018NEO, ENCFF798YAA	1470988946	ENCODE Processing Pipeline	dff251be77dfd322621849c830d36b6f		https://www.encodeproject.org/files/ENCFF217WVV/@@download/ENCFF217WVV.bam	mm10			released	mild to moderate bottlenecking			
ENCFF928AGA	bam	alignments	ENCSR968NPX	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9ac-mouse	ENCAB000ANM	DNA			SDS		False	2016-04-22	ENCODE				1							ENCFF754ZVE, ENCFF806TVZ	1253255017	ENCODE Processing Pipeline	d7a7d67e4d9da1dce660b594f2ebf684		https://www.encodeproject.org/files/ENCFF928AGA/@@download/ENCFF928AGA.bam	mm10-minimal			archived	moderate library complexity, mild to moderate bottlenecking			
ENCFF466QVF	bam	alignments	ENCSR968NPX	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9ac-mouse	ENCAB000ANM	DNA			SDS		False	2016-04-22	ENCODE				2							ENCFF806TVZ, ENCFF881YFX	1240824679	ENCODE Processing Pipeline	93091a8662f1e220778979b56d483bc4		https://www.encodeproject.org/files/ENCFF466QVF/@@download/ENCFF466QVF.bam	mm10-minimal			archived	moderate library complexity, mild to moderate bottlenecking			
ENCFF779KGA	bam	unfiltered alignments	ENCSR968NPX	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9ac-mouse	ENCAB000ANM	DNA			SDS		False	2016-04-22	ENCODE				1			50				ENCFF018NEO, ENCFF754ZVE	2037183846	ENCODE Processing Pipeline	38a225ffa43c1e37a0c0623776a6ca5d		https://www.encodeproject.org/files/ENCFF779KGA/@@download/ENCFF779KGA.bam	mm10			released	moderate library complexity, mild to moderate bottlenecking			
ENCFF933NMB	bam	alignments	ENCSR968NPX	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9ac-mouse	ENCAB000ANM	DNA			SDS		False	2016-04-22	ENCODE				1			50				ENCFF018NEO, ENCFF754ZVE	1252978770	ENCODE Processing Pipeline	c12668b74e034fd3523fdc49aad1a9ac		https://www.encodeproject.org/files/ENCFF933NMB/@@download/ENCFF933NMB.bam	mm10			released	moderate library complexity, mild to moderate bottlenecking			
ENCFF311RHJ	bam	unfiltered alignments	ENCSR968NPX	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9ac-mouse	ENCAB000ANM	DNA			SDS		False	2016-04-22	ENCODE				2			50				ENCFF018NEO, ENCFF881YFX	1983771572	ENCODE Processing Pipeline	63445f9edd2c8fab5ca76f5e58f06d40		https://www.encodeproject.org/files/ENCFF311RHJ/@@download/ENCFF311RHJ.bam	mm10			released	moderate library complexity, mild to moderate bottlenecking			
ENCFF842AYU	bam	alignments	ENCSR968NPX	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K9ac-mouse	ENCAB000ANM	DNA			SDS		False	2016-04-22	ENCODE				2			50				ENCFF018NEO, ENCFF881YFX	1240527352	ENCODE Processing Pipeline	53482b3bd85997d662370c6388585664		https://www.encodeproject.org/files/ENCFF842AYU/@@download/ENCFF842AYU.bam	mm10			released	moderate library complexity, mild to moderate bottlenecking			
ENCFF574ENE	bam	alignments	ENCSR098USP	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-02-18	ENCODE				2							ENCFF152MDB, ENCFF806TVZ	1365752720	ENCODE Processing Pipeline	12e26d25e7802869f0893c94648b6cb8		https://www.encodeproject.org/files/ENCFF574ENE/@@download/ENCFF574ENE.bam	mm10-minimal			archived	inconsistent platforms			
ENCFF851WIE	bam	alignments	ENCSR098USP	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-02-18	ENCODE				1							ENCFF237DIP, ENCFF806TVZ	1069326905	ENCODE Processing Pipeline	0ed58c408a8aeee2ce5bce12031fbc7a		https://www.encodeproject.org/files/ENCFF851WIE/@@download/ENCFF851WIE.bam	mm10-minimal			archived	inconsistent platforms			
ENCFF391XRK	bam	unfiltered alignments	ENCSR098USP	ChIP-seq	UBERON:0000948	heart	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K9me3-mouse	ENCAB929ZIJ	DNA			SDS		False	2016-02-18	ENCODE				2			50				ENCFF018NEO, ENCFF152MDB	3308664523	ENCODE Processing Pipeline	d258ba7c2486f7c718f2cb78c57b5acd		https://www.encodeproject.org/files/ENCFF391XRK/@@download/ENCFF391XRK.bam	mm10			released	inconsistent platforms			
