File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF338SQC	bam	alignments	ENCSR810EOA	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-11-03	ENCODE				1							ENCFF806TVZ, ENCFF978XUJ	3027642264	ENCODE Processing Pipeline	e2d2e327f13e81a0a9a63389b135bd66		https://www.encodeproject.org/files/ENCFF338SQC/@@download/ENCFF338SQC.bam	mm10-minimal			archived	inconsistent platforms			
ENCFF480WZM	bam	alignments	ENCSR810EOA	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-11-03	ENCODE				2							ENCFF671WMT, ENCFF806TVZ	2772106449	ENCODE Processing Pipeline	cd5dba22681633b7026f0b5649f0166b		https://www.encodeproject.org/files/ENCFF480WZM/@@download/ENCFF480WZM.bam	mm10-minimal			archived	inconsistent platforms			
ENCFF202KJT	bam	unfiltered alignments	ENCSR810EOA	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-11-03	ENCODE				2			50				ENCFF018NEO, ENCFF671WMT	3730940324	ENCODE Processing Pipeline	639874e41ddf25ada4fd0204bf681af3		https://www.encodeproject.org/files/ENCFF202KJT/@@download/ENCFF202KJT.bam	mm10			released	inconsistent platforms			
ENCFF768PCV	bam	unfiltered alignments	ENCSR810EOA	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-11-03	ENCODE				1			50				ENCFF018NEO, ENCFF978XUJ	4076991934	ENCODE Processing Pipeline	d37466f476a68892101d41fa653870c8		https://www.encodeproject.org/files/ENCFF768PCV/@@download/ENCFF768PCV.bam	mm10			released	inconsistent platforms			
ENCFF295BOL	bam	alignments	ENCSR810EOA	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-11-03	ENCODE				2			50				ENCFF018NEO, ENCFF671WMT	2771538696	ENCODE Processing Pipeline	34e6798f93171d2dd8daedcf0cc0b99f		https://www.encodeproject.org/files/ENCFF295BOL/@@download/ENCFF295BOL.bam	mm10			released	inconsistent platforms			
ENCFF173RDF	bam	alignments	ENCSR810EOA	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-11-03	ENCODE				1			50				ENCFF018NEO, ENCFF978XUJ	3026962945	ENCODE Processing Pipeline	049365f8528c5d185dcf7b06d20bcc6d		https://www.encodeproject.org/files/ENCFF173RDF/@@download/ENCFF173RDF.bam	mm10			released	inconsistent platforms			
ENCFF899GSP	bam	alignments	ENCSR244ASF	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-11-03	ENCODE				1							ENCFF220WCE, ENCFF806TVZ	1604298332	ENCODE Processing Pipeline	bfe5ce6974c34fda0286715c9bea72dd		https://www.encodeproject.org/files/ENCFF899GSP/@@download/ENCFF899GSP.bam	mm10-minimal			archived	mild to moderate bottlenecking, inconsistent platforms			
ENCFF351DTM	bam	alignments	ENCSR244ASF	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-11-03	ENCODE				2							ENCFF194BWG, ENCFF806TVZ	1557637404	ENCODE Processing Pipeline	65b326e3eae5355021ac7a7de3b33d38		https://www.encodeproject.org/files/ENCFF351DTM/@@download/ENCFF351DTM.bam	mm10-minimal			archived	mild to moderate bottlenecking, inconsistent platforms			
ENCFF757STN	bam	unfiltered alignments	ENCSR244ASF	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-11-03	ENCODE				1			50				ENCFF018NEO, ENCFF220WCE	2328761161	ENCODE Processing Pipeline	b1adfbe193c4ae4715953749c7a68c4e		https://www.encodeproject.org/files/ENCFF757STN/@@download/ENCFF757STN.bam	mm10			released	mild to moderate bottlenecking, inconsistent platforms			
ENCFF350ZRX	bam	unfiltered alignments	ENCSR244ASF	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-11-03	ENCODE				2			50				ENCFF018NEO, ENCFF194BWG	2307357303	ENCODE Processing Pipeline	6284c95c8cc764a19a5e38373129593a		https://www.encodeproject.org/files/ENCFF350ZRX/@@download/ENCFF350ZRX.bam	mm10			released	mild to moderate bottlenecking, inconsistent platforms			
ENCFF536ZMQ	bam	alignments	ENCSR244ASF	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-11-03	ENCODE				2			50				ENCFF018NEO, ENCFF194BWG	1557388662	ENCODE Processing Pipeline	27b8a9a789b0d142c55cfd45895b712c		https://www.encodeproject.org/files/ENCFF536ZMQ/@@download/ENCFF536ZMQ.bam	mm10			released	mild to moderate bottlenecking, inconsistent platforms			
ENCFF148HFT	bam	alignments	ENCSR244ASF	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	15.5 day	Mus musculus					H3K4me3-mouse	ENCAB610CEF	DNA			SDS		False	2015-11-03	ENCODE				1			50				ENCFF018NEO, ENCFF220WCE	1604014525	ENCODE Processing Pipeline	8bda449a7ab465f8de64e63beef5a087		https://www.encodeproject.org/files/ENCFF148HFT/@@download/ENCFF148HFT.bam	mm10			released	mild to moderate bottlenecking, inconsistent platforms			
ENCFF180FSZ	bam	alignments	ENCSR426EZM	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2							ENCFF202SUQ, ENCFF209PAZ, ENCFF806TVZ	2752258285	ENCODE Processing Pipeline	a38f920755d30961673529054f657167		https://www.encodeproject.org/files/ENCFF180FSZ/@@download/ENCFF180FSZ.bam	mm10-minimal			archived	inconsistent platforms	sequencing runs labeled as technical replicates		
ENCFF110VQJ	bam	alignments	ENCSR426EZM	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1							ENCFF101LJZ, ENCFF806TVZ	2707509730	ENCODE Processing Pipeline	aaf63d84e777d5799cceccef4020a825		https://www.encodeproject.org/files/ENCFF110VQJ/@@download/ENCFF110VQJ.bam	mm10-minimal			archived	inconsistent platforms	sequencing runs labeled as technical replicates		
ENCFF700FGN	bam	unfiltered alignments	ENCSR426EZM	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2			50				ENCFF018NEO, ENCFF202SUQ, ENCFF209PAZ	3652664722	ENCODE Processing Pipeline	c4997c382ee79ebf67ac0519e7460ce3		https://www.encodeproject.org/files/ENCFF700FGN/@@download/ENCFF700FGN.bam	mm10			released	inconsistent platforms	sequencing runs labeled as technical replicates		
ENCFF074MHA	bam	unfiltered alignments	ENCSR426EZM	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1			50				ENCFF018NEO, ENCFF101LJZ	3494631578	ENCODE Processing Pipeline	a72aedbd1cb4115552200b48f2eacb86		https://www.encodeproject.org/files/ENCFF074MHA/@@download/ENCFF074MHA.bam	mm10			released	inconsistent platforms	sequencing runs labeled as technical replicates		
ENCFF256EFQ	bam	alignments	ENCSR426EZM	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2			50				ENCFF018NEO, ENCFF202SUQ, ENCFF209PAZ	2751721095	ENCODE Processing Pipeline	82c6f70c9190456e4fb10cf29e0bb3bc		https://www.encodeproject.org/files/ENCFF256EFQ/@@download/ENCFF256EFQ.bam	mm10			released	inconsistent platforms	sequencing runs labeled as technical replicates		
ENCFF937SNJ	bam	alignments	ENCSR426EZM	ChIP-seq	UBERON:0002101	limb	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1			50				ENCFF018NEO, ENCFF101LJZ	2707013622	ENCODE Processing Pipeline	f726b150f20f0bafa57376d12dfdfa3d		https://www.encodeproject.org/files/ENCFF937SNJ/@@download/ENCFF937SNJ.bam	mm10			released	inconsistent platforms	sequencing runs labeled as technical replicates		
