File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF118MPZ	bam	unfiltered alignments	ENCSR573MJR	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	11.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2014-06-30	ENCODE				1							ENCFF001ZUT, ENCFF806TVZ	917642444	ENCODE Processing Pipeline	9733162e0736bc0e0da99c47ecbb94a8		https://www.encodeproject.org/files/ENCFF118MPZ/@@download/ENCFF118MPZ.bam	mm10-minimal			archived	low read depth, low read length			
ENCFF526SBC	bam	unfiltered alignments	ENCSR573MJR	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	11.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2014-06-30	ENCODE				2							ENCFF001ZUU, ENCFF806TVZ	893476580	ENCODE Processing Pipeline	5c0529e2eb2a4d9f60865feca37f6a5d		https://www.encodeproject.org/files/ENCFF526SBC/@@download/ENCFF526SBC.bam	mm10-minimal			archived	low read depth, low read length			
ENCFF841RBB	bam	alignments	ENCSR573MJR	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	11.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2014-06-30	ENCODE				2							ENCFF001ZUU, ENCFF806TVZ	562336463	ENCODE Processing Pipeline	9c14c6bf7ee9aa4b84bde66da7f93abe		https://www.encodeproject.org/files/ENCFF841RBB/@@download/ENCFF841RBB.bam	mm10-minimal			archived	low read depth, low read length			
ENCFF807GND	bam	alignments	ENCSR573MJR	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	11.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2014-06-30	ENCODE				1							ENCFF001ZUT, ENCFF806TVZ	582271531	ENCODE Processing Pipeline	9b774f5e28ea2d30dd054facc2b04deb		https://www.encodeproject.org/files/ENCFF807GND/@@download/ENCFF807GND.bam	mm10-minimal			archived	low read depth, low read length			
ENCFF681ZOI	bam	unfiltered alignments	ENCSR573MJR	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	11.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2014-06-30	ENCODE				1							ENCFF001ZUT, ENCFF018NEO	919000901	ENCODE Processing Pipeline	2102afc02e6f58d62817cc8d30543f39		https://www.encodeproject.org/files/ENCFF681ZOI/@@download/ENCFF681ZOI.bam	mm10			released	low read depth, low read length			
ENCFF010EXO	bam	alignments	ENCSR573MJR	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	11.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2014-06-30	ENCODE				1							ENCFF001ZUT, ENCFF018NEO	582067980	ENCODE Processing Pipeline	052c0fc878ce9af46a372270fbe3fd9d		https://www.encodeproject.org/files/ENCFF010EXO/@@download/ENCFF010EXO.bam	mm10			released	low read depth, low read length			
ENCFF804FRH	bam	alignments	ENCSR573MJR	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	11.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2014-06-30	ENCODE				2							ENCFF001ZUU, ENCFF018NEO	562130177	ENCODE Processing Pipeline	9e096248db434185938d303c4f81b11c		https://www.encodeproject.org/files/ENCFF804FRH/@@download/ENCFF804FRH.bam	mm10			released	low read depth, low read length			
ENCFF616JRC	bam	unfiltered alignments	ENCSR573MJR	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	11.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2014-06-30	ENCODE				2							ENCFF001ZUU, ENCFF018NEO	894784172	ENCODE Processing Pipeline	f478e819a9d0af51890993f6e88d8f2d		https://www.encodeproject.org/files/ENCFF616JRC/@@download/ENCFF616JRC.bam	mm10			released	low read depth, low read length			
ENCFF001KLD	bam	alignments	ENCSR000CDW	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	14.5 day	Mus musculus					H3K4me1-mouse	ENCAB000ADX	DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF001KLM	960963928	Bing Ren, UCSD	dfb2ccc310966fff2d551a8e2594775a		https://www.encodeproject.org/files/ENCFF001KLD/@@download/ENCFF001KLD.bam	mm9			released	inconsistent platforms, low read length	missing unfiltered alignments	insufficient read depth, control insufficient read depth	
ENCFF001KLE	bam	alignments	ENCSR000CDW	ChIP-seq	UBERON:0002107	liver	tissue	embryonic	mixed	14.5 day	Mus musculus					H3K4me1-mouse	ENCAB000ADX	DNA		see document	see document		False	2012-03-28	ENCODE				2							ENCFF001KLN	616929321	Bing Ren, UCSD	448a93a138117a41cbb1e9854bc3fd45		https://www.encodeproject.org/files/ENCFF001KLE/@@download/ENCFF001KLE.bam	mm9			released	inconsistent platforms, low read length	missing unfiltered alignments	insufficient read depth, control insufficient read depth	
