File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF085HLN	bam	alignments	ENCSR253IEG	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2							ENCFF571ECK, ENCFF806TVZ	2584948285	ENCODE Processing Pipeline	4e48bce448ec3a43c14b59a8feeb774e		https://www.encodeproject.org/files/ENCFF085HLN/@@download/ENCFF085HLN.bam	mm10-minimal			archived	inconsistent platforms			
ENCFF590NMT	bam	alignments	ENCSR253IEG	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1							ENCFF642GCV, ENCFF806TVZ	2742161688	ENCODE Processing Pipeline	2d69bc4ddbbeed8b4526c5fe5d074c0b		https://www.encodeproject.org/files/ENCFF590NMT/@@download/ENCFF590NMT.bam	mm10-minimal			archived	inconsistent platforms			
ENCFF102HEI	bam	unfiltered alignments	ENCSR253IEG	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1			50				ENCFF018NEO, ENCFF642GCV	3634320125	ENCODE Processing Pipeline	facbb952a698bbf6289a010ef165b77c		https://www.encodeproject.org/files/ENCFF102HEI/@@download/ENCFF102HEI.bam	mm10			released	inconsistent platforms			
ENCFF395LAP	bam	unfiltered alignments	ENCSR253IEG	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2			50				ENCFF018NEO, ENCFF571ECK	3356749306	ENCODE Processing Pipeline	fbdc2cd30cdea379b111b136347c69ee		https://www.encodeproject.org/files/ENCFF395LAP/@@download/ENCFF395LAP.bam	mm10			released	inconsistent platforms			
ENCFF674BRI	bam	alignments	ENCSR253IEG	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				1			50				ENCFF018NEO, ENCFF642GCV	2741633976	ENCODE Processing Pipeline	0e671622a5b4be019a6999ec9f94a794		https://www.encodeproject.org/files/ENCFF674BRI/@@download/ENCFF674BRI.bam	mm10			released	inconsistent platforms			
ENCFF915ZRV	bam	alignments	ENCSR253IEG	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	13.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2015-06-23	ENCODE				2			50				ENCFF018NEO, ENCFF571ECK	2584460078	ENCODE Processing Pipeline	4ff6c1647769f0bcb919ba6c72328c17		https://www.encodeproject.org/files/ENCFF915ZRV/@@download/ENCFF915ZRV.bam	mm10			released	inconsistent platforms			
ENCFF201GUW	bam	alignments	ENCSR157IVC	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2016-03-30	ENCODE				2							ENCFF031YMD, ENCFF806TVZ	2191737480	ENCODE Processing Pipeline	6d1d363dccccc6fc156d858a9a20dcc3		https://www.encodeproject.org/files/ENCFF201GUW/@@download/ENCFF201GUW.bam	mm10-minimal			archived				
ENCFF842HEF	bam	alignments	ENCSR157IVC	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2016-03-30	ENCODE				1							ENCFF806TVZ, ENCFF945MPF	2073309992	ENCODE Processing Pipeline	205c090fae3a3637469cecd370cad60a		https://www.encodeproject.org/files/ENCFF842HEF/@@download/ENCFF842HEF.bam	mm10-minimal			archived				
ENCFF320GWK	bam	unfiltered alignments	ENCSR157IVC	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2016-03-30	ENCODE				1			50				ENCFF018NEO, ENCFF945MPF	2703095309	ENCODE Processing Pipeline	b4180dafc98c4947b38e147f45e300b1		https://www.encodeproject.org/files/ENCFF320GWK/@@download/ENCFF320GWK.bam	mm10			released				
ENCFF036MRS	bam	unfiltered alignments	ENCSR157IVC	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2016-03-30	ENCODE				2			50				ENCFF018NEO, ENCFF031YMD	2904623916	ENCODE Processing Pipeline	41bacccd6acf1acc64bedaee2cd4b434		https://www.encodeproject.org/files/ENCFF036MRS/@@download/ENCFF036MRS.bam	mm10			released				
ENCFF468WHG	bam	alignments	ENCSR157IVC	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2016-03-30	ENCODE				1			50				ENCFF018NEO, ENCFF945MPF	2072899032	ENCODE Processing Pipeline	a5a89aa1337375d07015a4b2e9ff27be		https://www.encodeproject.org/files/ENCFF468WHG/@@download/ENCFF468WHG.bam	mm10			released				
ENCFF563JOE	bam	alignments	ENCSR157IVC	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K4me1-mouse	ENCAB027VOE	DNA			SDS		False	2016-03-30	ENCODE				2			50				ENCFF018NEO, ENCFF031YMD	2191292882	ENCODE Processing Pipeline	04e3c2186153b2defacf5aa492358494		https://www.encodeproject.org/files/ENCFF563JOE/@@download/ENCFF563JOE.bam	mm10			released				
ENCFF614DQI	bam	alignments	ENCSR252ONR	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K27ac-mouse	ENCAB943WPC	DNA			SDS		False	2016-03-30	ENCODE				1							ENCFF806TVZ, ENCFF859APS	1461888157	ENCODE Processing Pipeline	5a607a9420c5c0925fd895010dcfbcdf		https://www.encodeproject.org/files/ENCFF614DQI/@@download/ENCFF614DQI.bam	mm10-minimal			archived	mild to moderate bottlenecking			
ENCFF427XPE	bam	alignments	ENCSR252ONR	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K27ac-mouse	ENCAB943WPC	DNA			SDS		False	2016-03-30	ENCODE				2							ENCFF806TVZ, ENCFF925WPN	1351081555	ENCODE Processing Pipeline	8d64e193fd12b590ba8243cde3a4ae62		https://www.encodeproject.org/files/ENCFF427XPE/@@download/ENCFF427XPE.bam	mm10-minimal			archived	mild to moderate bottlenecking			
ENCFF609PLT	bam	unfiltered alignments	ENCSR252ONR	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K27ac-mouse	ENCAB943WPC	DNA			SDS		False	2016-03-30	ENCODE				2			50				ENCFF018NEO, ENCFF925WPN	1916646203	ENCODE Processing Pipeline	844f28f3fb3500d7cb09ddce95d3815c		https://www.encodeproject.org/files/ENCFF609PLT/@@download/ENCFF609PLT.bam	mm10			released	mild to moderate bottlenecking			
ENCFF355VTF	bam	unfiltered alignments	ENCSR252ONR	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K27ac-mouse	ENCAB943WPC	DNA			SDS		False	2016-03-30	ENCODE				1			50				ENCFF018NEO, ENCFF859APS	2087160483	ENCODE Processing Pipeline	690a631ef307aa534e0ef6346de7525e		https://www.encodeproject.org/files/ENCFF355VTF/@@download/ENCFF355VTF.bam	mm10			released	mild to moderate bottlenecking			
ENCFF037LKE	bam	alignments	ENCSR252ONR	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K27ac-mouse	ENCAB943WPC	DNA			SDS		False	2016-03-30	ENCODE				2			50				ENCFF018NEO, ENCFF925WPN	1350803629	ENCODE Processing Pipeline	9ab28e43631996b8d19e72e8cdc499da		https://www.encodeproject.org/files/ENCFF037LKE/@@download/ENCFF037LKE.bam	mm10			released	mild to moderate bottlenecking			
ENCFF839QUF	bam	alignments	ENCSR252ONR	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					H3K27ac-mouse	ENCAB943WPC	DNA			SDS		False	2016-03-30	ENCODE				1			50				ENCFF018NEO, ENCFF859APS	1461578590	ENCODE Processing Pipeline	037851e1ce4a81cb7bbe9409b4a579ac		https://www.encodeproject.org/files/ENCFF839QUF/@@download/ENCFF839QUF.bam	mm10			released	mild to moderate bottlenecking			
ENCFF233LRZ	bam	alignments	ENCSR415FCU	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2016-03-30	ENCODE				2							ENCFF015ETA, ENCFF695ITS, ENCFF806TVZ	2315701757	ENCODE Processing Pipeline	a2229138032367ec6216cac6a953b2df		https://www.encodeproject.org/files/ENCFF233LRZ/@@download/ENCFF233LRZ.bam	mm10-minimal			archived		sequencing runs labeled as technical replicates		
ENCFF595MDP	bam	alignments	ENCSR415FCU	ChIP-seq	UBERON:0001891	midbrain	tissue	embryonic	mixed	12.5 day	Mus musculus					Control-mouse		DNA			SDS		False	2016-03-30	ENCODE				1							ENCFF031RLD, ENCFF419PTI, ENCFF806TVZ	2255517534	ENCODE Processing Pipeline	10cabaa4c012f754c5fb75b1a151fa26		https://www.encodeproject.org/files/ENCFF595MDP/@@download/ENCFF595MDP.bam	mm10-minimal			archived		sequencing runs labeled as technical replicates		
