Gene	count	psi
ENSMUSG00000026150.10	5731	-0.198
ENSMUSG00000020792.11	2767	-0.502
ENSMUSG00000037685.11	2041	-0.705
ENSMUSG00000028207.14	1697	-0.652
ENSMUSG00000037935.12	4996	0.365
ENSMUSG00000032294.12	23836	0.56
ENSMUSG00000053768.9	1585	-0.569
ENSMUSG00000025871.14	6919	0.514
ENSMUSG00000025871.14	6919	0.276
ENSMUSG00000025871.14	6919	0.288
ENSMUSG00000025871.14	6919	0.257
ENSMUSG00000063077.10	8695	-0.49
ENSMUSG00000022607.10	3334	-0.468
ENSMUSG00000022607.10	3334	-0.474
ENSMUSG00000055762.11	2109	-0.416
ENSMUSG00000004631.11	705	-0.416
ENSMUSG00000027601.9	1081	-0.364
ENSMUSG00000016382.11	1257	-0.481
ENSMUSG00000021493.11	1551	-0.23
ENSMUSG00000031422.12	8408	0.191
ENSMUSG00000031422.12	8408	0.366
ENSMUSG00000031422.12	8408	0.326
ENSMUSG00000035203.11	1919	0.485
ENSMUSG00000025085.12	1928	-0.589
ENSMUSG00000019188.12	3612	-0.349
ENSMUSG00000019188.12	3612	-0.334
ENSMUSG00000049550.13	2810	0.639
ENSMUSG00000030557.12	1453	-0.702
ENSMUSG00000022884.10	5124	0.154
ENSMUSG00000009079.12	13970	-0.135
ENSMUSG00000061689.11	6293	0.248
ENSMUSG00000061689.11	6293	0.558
ENSMUSG00000061689.11	6293	0.511
ENSMUSG00000029538.9	2541	-0.073
ENSMUSG00000022568.12	752	-0.564
ENSMUSG00000027575.15	2496	-0.256
ENSMUSG00000054808.9	3217	0.436
ENSMUSG00000005583.12	4701	-0.745
ENSMUSG00000028478.14	3424	-0.282
ENSMUSG00000028478.14	3424	-0.501
ENSMUSG00000036435.9	1720	-0.613
ENSMUSG00000060279.9	3098	-0.366
ENSMUSG00000003810.8	2020	-0.651
ENSMUSG00000029148.11	3293	-0.268
ENSMUSG00000031511.10	3243	-0.408
ENSMUSG00000026860.12	2147	-0.565
ENSMUSG00000031865.11	5551	-0.649
ENSMUSG00000031865.11	5551	-0.309
ENSMUSG00000067786.12	84081	0.286
ENSMUSG00000067786.12	84081	0.246
ENSMUSG00000067786.12	84081	0.267
ENSMUSG00000067786.12	84081	0.281
ENSMUSG00000067786.12	84081	0.081
ENSMUSG00000067786.12	84081	0.193
ENSMUSG00000039262.12	6001	-0.426
ENSMUSG00000009090.13	3199	-0.401
ENSMUSG00000047454.7	992	0.611
ENSMUSG00000019528.14	536	-0.47
ENSMUSG00000027642.11	4218	-0.335
ENSMUSG00000004207.10	4438	-0.48
ENSMUSG00000021268.13	13308	0.158
ENSMUSG00000058835.10	1766	-0.622
ENSMUSG00000040687.12	2296	-0.573
ENSMUSG00000037032.11	6318	-0.545
ENSMUSG00000022892.10	8710	0.224
ENSMUSG00000040648.10	2605	-0.411
ENSMUSG00000040648.10	2605	-0.417
ENSMUSG00000040407.13	7426	0.331
ENSMUSG00000031153.12	1689	-0.554
ENSMUSG00000057541.10	647	-0.573
ENSMUSG00000005417.13	3289	-0.083
ENSMUSG00000039735.11	8530	-0.138
ENSMUSG00000028863.9	2025	-0.536
ENSMUSG00000024381.11	2192	-0.571
ENSMUSG00000032076.14	6292	-0.25
ENSMUSG00000032076.14	6292	0.617
ENSMUSG00000025006.11	1548	0.282
ENSMUSG00000026782.11	3376	-0.53
ENSMUSG00000026782.11	3376	-0.58
ENSMUSG00000057738.9	7846	-0.346
ENSMUSG00000045983.11	5991	-0.532
ENSMUSG00000033295.9	4206	0.469
ENSMUSG00000033295.9	4206	-0.442
ENSMUSG00000033295.9	4206	0.501
ENSMUSG00000029106.10	7501	-0.568
ENSMUSG00000029106.10	7501	-0.499
