Gene	count	psi
ENSMUSG00000051747.10	328	0.405
ENSMUSG00000064080.8	5	-0.14
ENSMUSG00000026414.9	224	0.273
ENSMUSG00000026414.9	224	0.297
ENSMUSG00000026414.9	224	0.111
ENSMUSG00000026414.9	224	0.279
ENSMUSG00000025781.10	19	0.122
ENSMUSG00000035863.9	2	-0.408
ENSMUSG00000024646.9	5	0.059
ENSMUSG00000002769.8	0	0.915
ENSMUSG00000051747.10	328	0.274
ENSMUSG00000101556.1	0	0.958
ENSMUSG00000024044.11	12	-0.186
ENSMUSG00000101556.1	0	0.959
ENSMUSG00000067629.6	7	-0.94
ENSMUSG00000040877.11	0	1.0
ENSMUSG00000015937.10	5	-0.155
ENSMUSG00000031353.9	4	-0.858
ENSMUSG00000032735.10	0	1.0
ENSMUSG00000025221.11	0	1.0
ENSMUSG00000051747.10	328	0.268
ENSMUSG00000052337.11	15	0.094
ENSMUSG00000027406.8	12	0.183
ENSMUSG00000026418.12	48	-1.0
ENSMUSG00000055717.9	0	-1.0
ENSMUSG00000020268.9	0	-1.0
ENSMUSG00000078671.6	4	1.0
ENSMUSG00000059327.5	2	-1.0
ENSMUSG00000059327.5	2	-1.0
ENSMUSG00000014503.10	104	-1.0
ENSMUSG00000024537.4	0	-1.0
ENSMUSG00000024049.10	20	0.182
ENSMUSG00000009569.10	3	1.0
ENSMUSG00000027160.12	1	-0.681
ENSMUSG00000027160.12	1	-0.677
ENSMUSG00000061315.9	14	-0.091
ENSMUSG00000061315.9	14	-0.089
ENSMUSG00000036026.11	10	-0.221
ENSMUSG00000024049.10	20	0.212
ENSMUSG00000074500.7	1	-0.65
ENSMUSG00000033044.8	0	0.656
ENSMUSG00000090841.1	4	-0.041
ENSMUSG00000025809.11	22	-0.044
ENSMUSG00000041642.14	1	0.601
ENSMUSG00000032336.13	22	0.064
ENSMUSG00000022434.7	2	-0.823
ENSMUSG00000022094.11	1	0.499
ENSMUSG00000051747.10	328	0.092
ENSMUSG00000022892.10	39	0.091
ENSMUSG00000096982.1	0	-0.739
ENSMUSG00000026414.9	224	0.117
ENSMUSG00000042359.14	7	0.83
ENSMUSG00000051747.10	328	0.27
ENSMUSG00000033981.10	2	-0.493
ENSMUSG00000022553.11	3	0.709
ENSMUSG00000020264.5	0	0.449
ENSMUSG00000028086.10	3	0.622
ENSMUSG00000031543.14	9	-0.426
ENSMUSG00000032497.11	3	-0.298
ENSMUSG00000057421.8	15	-0.259
ENSMUSG00000051747.10	328	0.109
ENSMUSG00000051747.10	328	0.09
ENSMUSG00000028773.8	4	0.514
ENSMUSG00000098318.3	1	0.754
ENSMUSG00000031328.11	9	-0.064
ENSMUSG00000098318.3	1	0.752
ENSMUSG00000086287.1	0	0.513
ENSMUSG00000038784.9	3	0.389
ENSMUSG00000041444.10	0	0.87
ENSMUSG00000051747.10	328	-0.206
ENSMUSG00000011831.12	0	-0.494
ENSMUSG00000039116.4	4	-0.382
ENSMUSG00000051747.10	328	-0.242
ENSMUSG00000034164.13	2	0.66
ENSMUSG00000051747.10	328	0.478
ENSMUSG00000026414.9	224	-0.017
ENSMUSG00000031133.8	0	0.347
ENSMUSG00000064202.11	17	0.566
ENSMUSG00000051747.10	328	0.347
ENSMUSG00000026571.8	4	-0.299
ENSMUSG00000024038.12	6	0.026
ENSMUSG00000024610.10	1	0.851
ENSMUSG00000029616.9	208	0.463
ENSMUSG00000026979.12	1	0.7
