Gene	count	psi
ENSMUSG00000020297.6	5195	0.137
ENSMUSG00000039218.12	12565	-0.114
ENSMUSG00000027966.15	4248	0.942
ENSMUSG00000037318.6	100	-0.841
ENSMUSG00000038119.10	1077	-0.935
ENSMUSG00000055762.11	2747	-0.112
ENSMUSG00000019188.12	4127	-0.192
ENSMUSG00000031422.12	9994	0.046
ENSMUSG00000052707.7	2208	0.94
ENSMUSG00000017677.7	13039	-0.198
ENSMUSG00000054556.6	68	1.0
ENSMUSG00000037935.12	6091	0.192
ENSMUSG00000031422.12	9994	0.091
ENSMUSG00000019188.12	4127	-0.162
ENSMUSG00000017421.14	8073	-0.176
ENSMUSG00000017677.7	13039	-0.211
ENSMUSG00000085743.1	16	1.0
ENSMUSG00000052707.7	2208	0.787
ENSMUSG00000019188.12	4127	-0.149
ENSMUSG00000085385.3	779	-0.241
ENSMUSG00000030276.15	180	1.0
ENSMUSG00000017677.7	13039	-0.203
ENSMUSG00000040537.13	2473	1.0
ENSMUSG00000017677.7	13039	-0.204
ENSMUSG00000062822.7	2902	-0.091
ENSMUSG00000005871.10	5597	0.681
ENSMUSG00000041014.13	217	0.736
ENSMUSG00000064284.8	204	-0.798
ENSMUSG00000054640.10	278	-1.0
ENSMUSG00000028218.15	1498	0.732
ENSMUSG00000064302.9	6703	-0.258
ENSMUSG00000053825.10	717	0.827
ENSMUSG00000028218.15	1498	0.712
ENSMUSG00000028906.11	9677	-0.047
ENSMUSG00000028115.12	17	0.859
ENSMUSG00000057421.8	2039	-0.085
ENSMUSG00000036782.9	2303	-0.196
ENSMUSG00000045349.11	198	0.627
ENSMUSG00000083844.4	426	0.63
ENSMUSG00000097623.3	48	0.698
ENSMUSG00000059900.10	23	0.781
ENSMUSG00000083844.4	426	0.603
ENSMUSG00000037747.5	3608	-0.728
ENSMUSG00000031960.10	5138	0.248
ENSMUSG00000041119.7	655	-0.793
ENSMUSG00000097023.4	1455	0.718
ENSMUSG00000062991.6	432	-0.812
ENSMUSG00000027523.15	35201	-0.148
ENSMUSG00000086296.2	629	0.464
ENSMUSG00000080316.6	1336	0.583
ENSMUSG00000017677.7	13039	-0.215
ENSMUSG00000034321.9	776	0.714
ENSMUSG00000026341.12	5440	-0.841
ENSMUSG00000030852.11	2529	-0.074
ENSMUSG00000046822.8	1590	0.795
ENSMUSG00000102252.1	3063	0.629
ENSMUSG00000037935.12	6091	0.233
ENSMUSG00000010751.10	158	0.639
ENSMUSG00000041471.8	183	0.738
ENSMUSG00000024826.10	3979	-0.121
ENSMUSG00000063626.5	383	-0.609
ENSMUSG00000032076.14	4485	-0.086
ENSMUSG00000036246.10	869	0.37
ENSMUSG00000045438.8	1248	-0.407
ENSMUSG00000033295.9	9769	-0.124
ENSMUSG00000032076.14	4485	0.215
ENSMUSG00000029055.13	270	0.557
ENSMUSG00000045962.12	3058	-0.377
ENSMUSG00000030846.11	1647	-0.271
ENSMUSG00000032373.10	129	-0.54
ENSMUSG00000022201.11	5598	0.665
ENSMUSG00000085399.3	116	-0.766
ENSMUSG00000037935.12	6091	0.165
ENSMUSG00000067629.6	200	-0.822
ENSMUSG00000027642.11	6593	-0.063
ENSMUSG00000031060.12	2261	-0.103
ENSMUSG00000021098.10	81	-0.82
ENSMUSG00000097589.5	1289	-0.445
ENSMUSG00000025369.10	9135	-0.171
ENSMUSG00000026409.10	430	-0.682
ENSMUSG00000038024.13	423	-0.486
ENSMUSG00000067786.12	53674	0.045
ENSMUSG00000044308.13	1522	-0.131
ENSMUSG00000026341.12	5440	-0.737
