Gene	count	psi
ENSMUSG00000015937.10	2	-0.089
ENSMUSG00000022139.12	0	0.506
ENSMUSG00000027985.10	0	-0.594
ENSMUSG00000025026.10	0	0.428
ENSMUSG00000021268.13	17	-0.155
ENSMUSG00000021268.13	17	-0.273
ENSMUSG00000021268.13	17	-0.168
ENSMUSG00000066306.8	28	-0.705
ENSMUSG00000066306.8	28	-0.508
ENSMUSG00000024381.11	1	-0.175
ENSMUSG00000025290.12	0	0.194
ENSMUSG00000035325.12	2	0.528
ENSMUSG00000035325.12	2	0.542
ENSMUSG00000061315.9	0	-0.023
ENSMUSG00000022483.12	3	0.559
ENSMUSG00000022483.12	3	0.435
ENSMUSG00000022483.12	3	0.435
ENSMUSG00000022483.12	3	0.414
ENSMUSG00000022483.12	3	0.342
ENSMUSG00000022483.12	3	0.558
ENSMUSG00000035863.9	1	-0.27
ENSMUSG00000061887.10	13	0.379
ENSMUSG00000025781.10	2	0.09
ENSMUSG00000061723.13	0	-0.808
ENSMUSG00000028745.14	2	-0.04
ENSMUSG00000074513.5	0	-0.239
ENSMUSG00000036087.14	1	-0.572
ENSMUSG00000004562.12	54	-0.361
ENSMUSG00000017421.14	1	-0.219
ENSMUSG00000036435.9	1	0.538
ENSMUSG00000032076.14	4	0.349
ENSMUSG00000032612.10	1	0.213
ENSMUSG00000061315.9	0	-0.031
ENSMUSG00000032624.11	3	-0.258
ENSMUSG00000027680.11	5	-0.312
ENSMUSG00000061315.9	0	-0.032
ENSMUSG00000001247.12	28	0.378
ENSMUSG00000025006.11	2	-0.54
ENSMUSG00000033737.10	0	0.405
ENSMUSG00000022892.10	7	0.13
ENSMUSG00000031565.13	6	0.133
ENSMUSG00000026585.9	0	-0.291
ENSMUSG00000027620.12	6	-0.158
ENSMUSG00000026566.11	2	-0.212
ENSMUSG00000031565.13	6	0.1
ENSMUSG00000071337.7	12	-0.211
ENSMUSG00000022517.12	3	-0.25
ENSMUSG00000005899.8	18	-0.318
ENSMUSG00000029462.14	89	0.315
ENSMUSG00000024826.10	0	-0.093
ENSMUSG00000001151.9	1	-0.593
ENSMUSG00000061816.11	0	-0.497
ENSMUSG00000051674.10	0	-0.893
ENSMUSG00000018395.15	0	0.465
ENSMUSG00000021000.11	0	-0.172
ENSMUSG00000021268.13	17	0.32
ENSMUSG00000030189.11	0	0.308
ENSMUSG00000021144.10	0	-0.417
ENSMUSG00000028273.11	0	-0.271
ENSMUSG00000048747.10	3	0.873
ENSMUSG00000020111.11	0	-0.179
ENSMUSG00000018417.10	0	0.236
ENSMUSG00000023092.12	6	0.176
ENSMUSG00000061723.13	0	0.903
ENSMUSG00000028649.13	2	-0.301
ENSMUSG00000018395.15	0	0.707
ENSMUSG00000021981.9	0	-0.074
ENSMUSG00000024534.11	0	0.407
ENSMUSG00000037936.11	0	-0.377
ENSMUSG00000061723.13	0	-0.623
ENSMUSG00000079110.7	6	-1.0
ENSMUSG00000032374.10	1	-0.333
ENSMUSG00000027763.9	4	0.35
ENSMUSG00000061288.9	1	-1.0
ENSMUSG00000025162.13	2	-0.266
ENSMUSG00000027620.12	6	-0.139
ENSMUSG00000022568.12	0	-0.163
ENSMUSG00000041164.11	1	-1.0
ENSMUSG00000021213.7	0	0.914
ENSMUSG00000031284.12	1	1.0
ENSMUSG00000053253.12	0	-0.807
ENSMUSG00000021215.10	0	-0.24
ENSMUSG00000064179.9	0	-0.299
ENSMUSG00000028107.10	28	-1.0
ENSMUSG00000021458.12	12	-0.056
ENSMUSG00000029471.9	0	-0.283
ENSMUSG00000097303.1	0	-1.0
ENSMUSG00000063275.11	0	-0.26
ENSMUSG00000037736.14	1	-0.284
ENSMUSG00000032246.9	0	-0.69
ENSMUSG00000073771.7	0	-1.0
ENSMUSG00000024188.11	1	-0.198
ENSMUSG00000032609.8	12	1.0
ENSMUSG00000055762.11	0	-0.033
ENSMUSG00000017677.7	1	-0.217
ENSMUSG00000029207.12	2	-0.382
ENSMUSG00000031864.11	0	-0.722
ENSMUSG00000031342.13	7	-0.531
ENSMUSG00000028693.11	11	0.331
ENSMUSG00000030246.7	2	-0.084
ENSMUSG00000022749.6	2	-0.553
ENSMUSG00000057229.7	2	0.726
ENSMUSG00000074513.5	0	-0.12
ENSMUSG00000021144.10	0	-0.535
ENSMUSG00000017677.7	1	-0.228
ENSMUSG00000032497.11	3	-0.31
ENSMUSG00000028906.11	60	-0.116
ENSMUSG00000029467.11	9	0.5
ENSMUSG00000025372.12	1	-0.254
ENSMUSG00000027680.11	5	-0.132
ENSMUSG00000026594.10	4	-0.159
ENSMUSG00000041594.13	7	-0.661
ENSMUSG00000022246.9	1	0.378
ENSMUSG00000042035.7	2	0.371
ENSMUSG00000050174.11	36	0.719
ENSMUSG00000035642.12	2	0.737
ENSMUSG00000017421.14	1	-0.111
ENSMUSG00000041890.13	3	-0.284
ENSMUSG00000022425.11	2	-0.091
ENSMUSG00000002948.14	1	-0.483
ENSMUSG00000028364.11	0	0.481
ENSMUSG00000028693.11	11	0.322
ENSMUSG00000028693.11	11	0.251
ENSMUSG00000031788.9	5	-0.494
ENSMUSG00000032185.10	21	0.167
ENSMUSG00000053332.9	3	-0.091
ENSMUSG00000031561.11	4	0.537
ENSMUSG00000027291.11	1	-0.244
ENSMUSG00000026566.11	2	-0.235
ENSMUSG00000052337.11	9	0.199
ENSMUSG00000022884.10	53	0.159
ENSMUSG00000014554.9	0	-0.23
ENSMUSG00000022681.10	203	0.241
ENSMUSG00000020439.13	0	0.427
ENSMUSG00000057193.7	0	0.107
ENSMUSG00000028364.11	0	0.464
ENSMUSG00000053617.7	10	-0.39
ENSMUSG00000035126.15	0	-0.514
ENSMUSG00000057193.7	0	0.132
ENSMUSG00000027522.11	3	0.673
ENSMUSG00000078812.6	4	0.243
ENSMUSG00000031561.11	4	0.462
ENSMUSG00000057193.7	0	0.113
ENSMUSG00000058897.13	2	0.64
ENSMUSG00000043940.10	1	0.364
ENSMUSG00000021823.9	23	-0.043
ENSMUSG00000020053.14	0	0.169
ENSMUSG00000040407.13	5	-0.229
ENSMUSG00000027971.12	0	0.823
ENSMUSG00000055762.11	0	0.103
ENSMUSG00000046879.6	1	0.563
ENSMUSG00000019899.11	1	-0.662
ENSMUSG00000028743.7	0	-0.686
ENSMUSG00000073771.7	0	-0.91
ENSMUSG00000024937.10	0	0.496
ENSMUSG00000078812.6	4	0.231
ENSMUSG00000014075.11	1	-0.174
ENSMUSG00000024163.13	80	0.351
ENSMUSG00000027247.12	3	0.467
ENSMUSG00000024958.8	3	0.318
ENSMUSG00000050174.11	36	0.66
ENSMUSG00000022681.10	203	0.198
ENSMUSG00000006315.8	0	-0.597
ENSMUSG00000022681.10	203	0.122
ENSMUSG00000025278.8	1	-0.329
ENSMUSG00000021000.11	0	-0.157
ENSMUSG00000017421.14	1	0.5
ENSMUSG00000024958.8	3	0.415
ENSMUSG00000075229.6	0	0.65
ENSMUSG00000036026.11	1	-0.187
ENSMUSG00000015937.10	2	-0.272
ENSMUSG00000008129.10	13	0.837
ENSMUSG00000029406.11	10	0.653
ENSMUSG00000027282.13	24	-0.071
ENSMUSG00000033295.9	1	-0.262
ENSMUSG00000039128.9	0	-0.175
ENSMUSG00000060373.10	0	-0.02
ENSMUSG00000030304.7	1	-0.493
ENSMUSG00000028901.9	0	0.726
ENSMUSG00000015937.10	2	-0.215
ENSMUSG00000068823.6	3	-0.02
ENSMUSG00000031626.12	5	0.389
ENSMUSG00000026743.12	27	-0.349
ENSMUSG00000029836.11	2	0.623
ENSMUSG00000020289.11	78	-0.158
ENSMUSG00000024127.10	3	0.277
ENSMUSG00000001419.13	9	-0.742
ENSMUSG00000024268.11	3	0.893
ENSMUSG00000034252.10	1	-0.219
ENSMUSG00000031562.11	0	-0.113
ENSMUSG00000021820.12	0	-0.088
ENSMUSG00000001419.13	9	-0.708
ENSMUSG00000028559.13	67	-0.475
ENSMUSG00000022884.10	53	0.135
ENSMUSG00000026914.11	1	-0.712
ENSMUSG00000019467.9	0	0.651
ENSMUSG00000023349.10	0	-0.663
ENSMUSG00000020376.12	1	-0.144
ENSMUSG00000028519.12	0	0.55
ENSMUSG00000025982.9	6	-0.053
ENSMUSG00000035642.12	2	0.147
ENSMUSG00000019790.12	0	-0.76
ENSMUSG00000061723.13	0	-0.652
ENSMUSG00000058056.11	1	-0.067
ENSMUSG00000027985.10	0	-0.236
ENSMUSG00000027406.8	7	0.079
ENSMUSG00000040648.10	3	-0.14
ENSMUSG00000032624.11	3	-0.229
ENSMUSG00000027406.8	7	0.071
ENSMUSG00000040268.12	0	0.553
ENSMUSG00000042035.7	2	0.404
ENSMUSG00000032826.12	1	-0.168
ENSMUSG00000022841.10	0	0.039
ENSMUSG00000057280.11	9	-0.459
ENSMUSG00000022070.6	21	-0.145
ENSMUSG00000035642.12	2	0.131
ENSMUSG00000021481.7	0	-0.21
ENSMUSG00000039599.11	2	-0.247
ENSMUSG00000026193.11	5	0.097
ENSMUSG00000087060.3	0	-0.502
ENSMUSG00000028809.12	3	-0.062
ENSMUSG00000022453.7	0	-0.245
ENSMUSG00000042079.9	0	-0.223
ENSMUSG00000016921.10	1	-0.025
ENSMUSG00000022150.12	1	0.147
ENSMUSG00000052512.11	3	-0.505
ENSMUSG00000029245.12	0	0.486
ENSMUSG00000097353.1	0	-0.586
ENSMUSG00000034321.9	1	-0.689
ENSMUSG00000029528.13	0	-0.264
ENSMUSG00000097080.3	4	-0.439
ENSMUSG00000030592.12	2	-0.468
ENSMUSG00000061723.13	0	0.655
ENSMUSG00000033111.11	0	0.122
ENSMUSG00000024044.11	0	0.146
ENSMUSG00000039376.9	0	0.433
ENSMUSG00000021981.9	0	-0.06
ENSMUSG00000039128.9	0	-0.048
ENSMUSG00000028364.11	0	0.384
ENSMUSG00000028441.8	0	-0.433
ENSMUSG00000017723.7	0	-0.307
ENSMUSG00000043987.13	0	-0.055
ENSMUSG00000049606.12	0	-0.542
ENSMUSG00000022995.12	4	-0.254
ENSMUSG00000002064.10	17	-0.645
ENSMUSG00000034252.10	1	-0.254
ENSMUSG00000025358.11	0	-0.122
ENSMUSG00000002546.12	12	-0.403
ENSMUSG00000030695.9	0	0.098
ENSMUSG00000021481.7	0	-0.27
ENSMUSG00000037536.9	0	-0.655
ENSMUSG00000004880.7	0	-0.583
ENSMUSG00000024958.8	3	0.376
ENSMUSG00000023460.8	0	0.145
ENSMUSG00000017715.7	2	-0.505
ENSMUSG00000038781.6	0	-0.348
ENSMUSG00000057230.9	0	-0.748
ENSMUSG00000078495.6	0	-0.698
ENSMUSG00000024268.11	3	0.771
ENSMUSG00000033737.10	0	-0.231
ENSMUSG00000046909.9	0	0.218
ENSMUSG00000028898.11	2	-0.256
ENSMUSG00000029407.7	1	-0.152
ENSMUSG00000020232.13	1	-0.141
ENSMUSG00000038388.10	0	-0.087
ENSMUSG00000021458.12	12	-0.034
ENSMUSG00000020232.13	1	-0.186
ENSMUSG00000028134.7	0	0.188
ENSMUSG00000033111.11	0	0.1
ENSMUSG00000021843.12	1	-0.232
ENSMUSG00000054514.3	2	0.538
ENSMUSG00000019888.11	0	0.457
ENSMUSG00000014426.8	1	0.273
ENSMUSG00000016921.10	1	-0.018
ENSMUSG00000051379.8	10	0.043
ENSMUSG00000026193.11	5	0.121
ENSMUSG00000031367.11	10	-0.096
ENSMUSG00000019647.12	3	0.112
ENSMUSG00000017421.14	1	-0.032
ENSMUSG00000007411.11	0	-0.172
ENSMUSG00000004947.11	0	-0.299
ENSMUSG00000038371.10	0	0.523
ENSMUSG00000033565.12	2	0.165
ENSMUSG00000008305.14	0	0.533
ENSMUSG00000028402.13	0	0.219
ENSMUSG00000026950.12	22	0.823
ENSMUSG00000023980.6	1	-0.139
ENSMUSG00000020917.13	0	-0.155
ENSMUSG00000028161.13	3	-0.051
ENSMUSG00000032267.7	1	-0.137
ENSMUSG00000027533.10	2	-0.02
ENSMUSG00000036499.8	0	-0.074
ENSMUSG00000066043.9	0	-0.235
ENSMUSG00000024049.10	5	0.595
ENSMUSG00000028441.8	0	-0.336
ENSMUSG00000020061.13	0	-0.689
ENSMUSG00000040855.11	0	0.653
ENSMUSG00000051379.8	10	0.04
ENSMUSG00000001472.12	1	-0.135
ENSMUSG00000073563.2	1	-0.213
ENSMUSG00000027200.13	0	0.559
ENSMUSG00000020389.14	0	0.636
ENSMUSG00000025372.12	1	-0.132
ENSMUSG00000015937.10	2	-0.018
ENSMUSG00000020225.6	1	-0.587
ENSMUSG00000018387.8	0	-0.325
ENSMUSG00000046449.11	1	0.327
ENSMUSG00000033102.10	2	-0.296
ENSMUSG00000053617.7	10	-0.417
ENSMUSG00000002799.5	0	0.311
ENSMUSG00000022884.10	53	0.121
ENSMUSG00000042305.8	0	-0.091
ENSMUSG00000020485.10	0	-0.028
ENSMUSG00000039103.8	29	-0.352
ENSMUSG00000030555.11	0	-0.395
ENSMUSG00000037679.8	0	-0.542
ENSMUSG00000017686.12	1	-0.234
ENSMUSG00000047090.9	3	0.608
ENSMUSG00000040312.10	0	0.46
ENSMUSG00000024127.10	3	0.259
ENSMUSG00000028898.11	2	-0.374
ENSMUSG00000042510.7	0	0.359
ENSMUSG00000028373.12	0	0.413
ENSMUSG00000052516.13	0	0.204
ENSMUSG00000024647.10	0	0.368
ENSMUSG00000068758.7	0	-0.612
ENSMUSG00000001247.12	28	0.536
ENSMUSG00000070858.7	0	-0.05
ENSMUSG00000026131.13	1	-0.388
ENSMUSG00000018932.5	0	-0.058
ENSMUSG00000028364.11	0	0.472
ENSMUSG00000020232.13	1	-0.058
ENSMUSG00000021900.10	0	-0.151
ENSMUSG00000060373.10	0	-0.015
ENSMUSG00000030313.11	0	-0.24
ENSMUSG00000006418.13	1	0.088
ENSMUSG00000052707.7	3	-0.303
ENSMUSG00000006418.13	1	0.061
ENSMUSG00000037426.13	1	0.441
ENSMUSG00000022051.11	0	-0.043
ENSMUSG00000034321.9	1	0.585
ENSMUSG00000017723.7	0	-0.235
ENSMUSG00000014353.10	0	-0.422
ENSMUSG00000013236.12	2	0.306
ENSMUSG00000020061.13	0	-0.507
ENSMUSG00000037608.11	1	-0.141
ENSMUSG00000028525.12	1	0.721
ENSMUSG00000024268.11	3	0.7
ENSMUSG00000071266.9	1	0.084
ENSMUSG00000025894.10	1	-0.132
ENSMUSG00000018412.12	1	-0.264
ENSMUSG00000025894.10	1	-0.132
ENSMUSG00000021796.10	1	0.053
ENSMUSG00000085028.2	2	-0.668
ENSMUSG00000039065.10	0	0.606
ENSMUSG00000033737.10	0	-0.17
ENSMUSG00000018761.10	1	-0.165
ENSMUSG00000032624.11	3	-0.365
ENSMUSG00000059974.6	2	-0.352
ENSMUSG00000054514.3	2	0.564
ENSMUSG00000075415.9	2	-0.189
ENSMUSG00000017677.7	1	-0.167
ENSMUSG00000030126.13	1	-0.453
ENSMUSG00000027639.12	1	-0.284
ENSMUSG00000042942.11	10	0.426
ENSMUSG00000071669.10	0	-0.301
ENSMUSG00000032212.9	2	-0.088
ENSMUSG00000025986.6	0	0.6
ENSMUSG00000022681.10	203	0.134
ENSMUSG00000025137.11	2	-0.244
ENSMUSG00000020898.14	0	0.088
ENSMUSG00000020954.11	2	0.153
