Gene	count	psi
ENSMUSG00000028906.11	2129	-0.51
ENSMUSG00000024646.9	564	-0.115
ENSMUSG00000028693.11	295	0.207
ENSMUSG00000025290.12	972	0.147
ENSMUSG00000032336.13	2319	0.072
ENSMUSG00000026193.11	1123	0.426
ENSMUSG00000026193.11	1123	0.453
ENSMUSG00000031167.12	635	0.032
ENSMUSG00000026193.11	1123	0.341
ENSMUSG00000025495.10	149	-0.189
ENSMUSG00000078143.3	3268	0.538
ENSMUSG00000029106.10	984	-0.269
ENSMUSG00000021000.11	235	-0.305
ENSMUSG00000026193.11	1123	0.377
ENSMUSG00000073664.7	17	-1.0
ENSMUSG00000024038.12	76	0.035
ENSMUSG00000027078.10	1253	0.761
ENSMUSG00000008683.12	198	-1.0
ENSMUSG00000045917.13	32	0.78
ENSMUSG00000029086.11	23	0.877
ENSMUSG00000055447.14	480	-0.094
ENSMUSG00000028809.12	530	0.045
ENSMUSG00000034321.9	76	1.0
ENSMUSG00000029142.10	157	1.0
ENSMUSG00000039065.10	23	1.0
ENSMUSG00000049550.13	53	0.087
ENSMUSG00000041471.8	81	-0.813
ENSMUSG00000021000.11	235	-0.439
ENSMUSG00000024663.13	399	0.045
ENSMUSG00000027333.14	242	0.247
ENSMUSG00000078923.6	260	-0.372
ENSMUSG00000004285.8	36	-0.634
ENSMUSG00000042515.9	26	-0.697
ENSMUSG00000049327.13	357	-0.299
ENSMUSG00000022307.11	162	0.689
ENSMUSG00000028995.10	152	0.192
ENSMUSG00000004980.12	4678	0.256
ENSMUSG00000042810.10	0	-0.75
ENSMUSG00000063652.6	12	0.686
ENSMUSG00000036617.12	38	-0.734
ENSMUSG00000078812.6	2154	0.209
ENSMUSG00000026150.10	178	-0.106
ENSMUSG00000030313.11	85	-0.631
ENSMUSG00000030228.11	4	0.886
ENSMUSG00000066406.10	195	-0.366
ENSMUSG00000004980.12	4678	0.249
ENSMUSG00000027333.14	242	0.2
ENSMUSG00000034248.7	3878	0.057
ENSMUSG00000085028.2	11	-0.821
ENSMUSG00000052584.9	88	-0.587
ENSMUSG00000004285.8	36	-0.658
ENSMUSG00000026867.14	192	-0.081
ENSMUSG00000021870.13	71	0.659
ENSMUSG00000025006.11	54	0.537
ENSMUSG00000029106.10	984	-0.22
ENSMUSG00000023092.12	8	0.149
ENSMUSG00000029478.12	54	-0.487
ENSMUSG00000025529.10	6	-0.554
ENSMUSG00000069601.9	31	-0.779
ENSMUSG00000028906.11	2129	0.038
ENSMUSG00000032826.12	43	0.12
ENSMUSG00000035919.12	6	-0.604
ENSMUSG00000038695.8	171	0.062
ENSMUSG00000020516.11	131	0.069
ENSMUSG00000032624.11	63	-0.393
ENSMUSG00000028218.15	126	0.74
ENSMUSG00000049606.12	105	-0.703
ENSMUSG00000063765.7	2152	-0.732
ENSMUSG00000078812.6	2154	0.189
ENSMUSG00000038893.8	227	-0.901
ENSMUSG00000059022.10	18	-0.553
ENSMUSG00000025261.13	608	0.898
ENSMUSG00000097039.4	21	-0.544
ENSMUSG00000051444.9	13	-0.897
ENSMUSG00000037536.9	102	0.473
ENSMUSG00000029106.10	984	-0.189
ENSMUSG00000032366.11	238	0.169
ENSMUSG00000037999.11	10	0.73
ENSMUSG00000025572.13	236	0.173
ENSMUSG00000027333.14	242	0.287
ENSMUSG00000066406.10	195	-0.354
ENSMUSG00000021814.12	228	-0.057
ENSMUSG00000040761.12	65	0.381
ENSMUSG00000004980.12	4678	0.079
ENSMUSG00000034480.14	22	-0.615
ENSMUSG00000022160.13	604	-0.326
ENSMUSG00000028910.8	86	0.053
ENSMUSG00000006586.11	73	0.448
ENSMUSG00000023764.14	279	-0.565
ENSMUSG00000029916.8	15	-0.631
ENSMUSG00000026927.13	581	-0.454
ENSMUSG00000068823.6	394	0.022
ENSMUSG00000022537.13	28	-0.569
ENSMUSG00000042302.10	55	0.547
ENSMUSG00000025059.12	31	-0.262
ENSMUSG00000020744.9	128	0.667
ENSMUSG00000016534.11	161	0.204
ENSMUSG00000078923.6	260	-0.302
ENSMUSG00000049606.12	105	-0.451
ENSMUSG00000074129.8	635	-0.581
ENSMUSG00000038893.8	227	-0.258
ENSMUSG00000028107.10	69	-0.557
ENSMUSG00000039835.11	14	0.694
ENSMUSG00000032366.11	238	-0.077
ENSMUSG00000024505.11	6	-0.399
ENSMUSG00000035325.12	121	-0.334
ENSMUSG00000017677.7	83	0.223
ENSMUSG00000064302.9	116	0.209
ENSMUSG00000028175.11	169	-0.268
ENSMUSG00000103270.1	168	0.702
ENSMUSG00000031788.9	56	-0.353
ENSMUSG00000022160.13	604	-0.182
ENSMUSG00000032034.5	34	-0.468
ENSMUSG00000020076.6	83	-0.197
ENSMUSG00000027455.12	203	0.166
ENSMUSG00000078773.7	50	0.632
ENSMUSG00000040097.11	5	0.315
ENSMUSG00000018417.10	34	0.456
ENSMUSG00000061186.11	3	0.8
ENSMUSG00000035325.12	121	-0.279
ENSMUSG00000087107.3	227	0.268
ENSMUSG00000040761.12	65	0.238
ENSMUSG00000029478.12	54	-0.318
ENSMUSG00000017677.7	83	0.229
