Gene	count	psi
ENSMUSG00000026150.10	5805	-0.318
ENSMUSG00000026150.10	5805	-0.413
ENSMUSG00000030519.10	5393	-0.353
ENSMUSG00000036333.10	9504	0.23
ENSMUSG00000020792.11	2914	-0.441
ENSMUSG00000020792.11	2914	-0.439
ENSMUSG00000039128.9	2312	-0.093
ENSMUSG00000039128.9	2312	-0.296
ENSMUSG00000060450.9	8289	-0.272
ENSMUSG00000028207.14	2060	-0.505
ENSMUSG00000033793.8	4283	0.32
ENSMUSG00000037935.12	4695	0.206
ENSMUSG00000037935.12	4695	0.61
ENSMUSG00000037935.12	4695	0.4
ENSMUSG00000053768.9	1149	-0.488
ENSMUSG00000025871.14	6416	0.37
ENSMUSG00000025871.14	6416	0.38
ENSMUSG00000025871.14	6416	0.646
ENSMUSG00000025871.14	6416	0.336
ENSMUSG00000025871.14	6416	0.744
ENSMUSG00000056121.11	944	-0.52
ENSMUSG00000052584.9	1168	0.152
ENSMUSG00000063077.10	9793	-0.428
ENSMUSG00000031996.12	8270	-0.399
ENSMUSG00000032560.9	690	-0.633
ENSMUSG00000055762.11	1928	-0.563
ENSMUSG00000038816.10	418	-0.675
ENSMUSG00000004631.11	844	-0.458
ENSMUSG00000021820.12	2433	-0.649
ENSMUSG00000021820.12	2433	-0.342
ENSMUSG00000027601.9	800	-0.293
ENSMUSG00000027601.9	800	-0.557
ENSMUSG00000021493.11	1871	-0.463
ENSMUSG00000031422.12	8003	0.438
ENSMUSG00000031422.12	8003	0.597
ENSMUSG00000031422.12	8003	0.614
ENSMUSG00000050017.7	2666	0.34
ENSMUSG00000057421.8	2418	-0.245
ENSMUSG00000040354.10	2462	-0.364
ENSMUSG00000035203.11	2353	0.525
ENSMUSG00000026634.12	1528	-0.114
ENSMUSG00000025085.12	2823	0.577
ENSMUSG00000025085.12	2823	0.579
ENSMUSG00000028809.12	3641	-0.128
ENSMUSG00000019188.12	3794	-0.381
ENSMUSG00000019188.12	3794	-0.42
ENSMUSG00000019188.12	3794	-0.397
ENSMUSG00000032340.7	2819	0.619
