Gene	count	psi
ENSMUSG00000031422.12	10081	0.08
ENSMUSG00000031422.12	10081	0.197
ENSMUSG00000031422.12	10081	0.152
ENSMUSG00000028478.14	3992	-0.221
ENSMUSG00000031422.12	10081	0.172
ENSMUSG00000017677.7	12981	-0.237
ENSMUSG00000055762.11	3231	-0.142
ENSMUSG00000017677.7	12981	-0.236
ENSMUSG00000031174.13	1553	-0.061
ENSMUSG00000005881.9	3164	-0.233
ENSMUSG00000063681.10	76	0.782
ENSMUSG00000087381.4	59	0.934
ENSMUSG00000031864.11	1993	-0.18
ENSMUSG00000056608.9	1905	-0.548
ENSMUSG00000026959.9	354	0.567
ENSMUSG00000070315.7	338	-1.0
ENSMUSG00000032076.14	5339	-0.117
ENSMUSG00000026611.13	20	0.738
ENSMUSG00000097039.4	25	1.0
ENSMUSG00000036782.9	2895	-0.132
ENSMUSG00000037386.11	1203	1.0
ENSMUSG00000045031.14	25	0.734
ENSMUSG00000044807.9	2475	-1.0
ENSMUSG00000040183.9	1350	1.0
ENSMUSG00000053205.8	117	1.0
ENSMUSG00000041769.9	1759	1.0
ENSMUSG00000041769.9	1759	1.0
ENSMUSG00000027642.11	6540	-0.088
ENSMUSG00000074673.11	26	0.714
ENSMUSG00000037860.11	90	0.905
ENSMUSG00000031835.11	4677	0.119
ENSMUSG00000011589.8	2116	-0.828
ENSMUSG00000040785.13	21940	0.179
ENSMUSG00000019188.12	3827	-0.21
ENSMUSG00000011877.9	616	-0.561
ENSMUSG00000026527.9	416	0.803
ENSMUSG00000052155.5	3971	-0.146
ENSMUSG00000031105.12	576	-0.457
ENSMUSG00000067786.12	51112	0.153
ENSMUSG00000040940.14	2401	-0.161
ENSMUSG00000031105.12	576	-0.453
ENSMUSG00000015214.10	875	-0.784
ENSMUSG00000027012.11	5696	-0.191
ENSMUSG00000060261.11	8899	-0.058
ENSMUSG00000061136.9	5357	0.089
ENSMUSG00000051855.11	23636	0.027
ENSMUSG00000020792.11	2554	-0.261
ENSMUSG00000009535.9	2259	-0.073
ENSMUSG00000097023.4	2137	0.724
ENSMUSG00000047547.10	1295	-0.158
ENSMUSG00000091625.4	479	0.261
ENSMUSG00000031105.12	576	-0.44
ENSMUSG00000032478.10	669	0.665
ENSMUSG00000002496.9	3337	-0.363
ENSMUSG00000021493.11	2728	-0.093
ENSMUSG00000027201.12	7836	-0.673
ENSMUSG00000037605.12	1672	-0.616
ENSMUSG00000036339.13	1038	0.608
ENSMUSG00000031133.8	162	0.774
ENSMUSG00000038695.8	718	-0.136
ENSMUSG00000021047.6	4087	0.216
ENSMUSG00000054309.8	3397	-0.038
ENSMUSG00000019302.12	3328	-0.225
ENSMUSG00000022973.13	1633	0.686
ENSMUSG00000034621.10	3055	0.615
ENSMUSG00000034324.12	1404	0.665
ENSMUSG00000036437.5	112	0.611
ENSMUSG00000103508.1	0	0.138
ENSMUSG00000069601.9	6136	-0.499
ENSMUSG00000043079.13	1284	0.677
ENSMUSG00000103508.1	0	0.081
ENSMUSG00000028476.9	812	-0.207
ENSMUSG00000059810.14	951	0.481
ENSMUSG00000041670.11	355	0.673
ENSMUSG00000087594.1	142	0.541
ENSMUSG00000074673.11	26	0.792
ENSMUSG00000028759.9	6764	0.142
ENSMUSG00000037935.12	5799	0.21
ENSMUSG00000032478.10	669	0.678
ENSMUSG00000061689.11	4784	0.59
ENSMUSG00000093985.3	22	0.647
ENSMUSG00000039218.12	12776	-0.083
ENSMUSG00000004677.11	1545	0.405
ENSMUSG00000031137.13	2199	0.241
ENSMUSG00000028689.10	288	-0.345
ENSMUSG00000040940.14	2401	-0.212
ENSMUSG00000026959.9	354	0.819
ENSMUSG00000023092.12	2637	-0.191
ENSMUSG00000042439.8	3375	0.234
ENSMUSG00000031060.12	2222	-0.132
ENSMUSG00000002031.7	1508	-0.908
ENSMUSG00000045962.12	2874	-0.416
ENSMUSG00000036309.10	18186	0.816
ENSMUSG00000042439.8	3375	0.175
ENSMUSG00000030924.11	296	-0.435
ENSMUSG00000032178.9	11087	0.042
ENSMUSG00000037935.12	5799	0.438
ENSMUSG00000017421.14	8048	-0.138
ENSMUSG00000020346.12	1261	0.601
ENSMUSG00000041674.12	63	0.556
ENSMUSG00000089917.3	953	0.57
ENSMUSG00000010453.8	2203	-0.28
ENSMUSG00000020290.10	7510	-0.048
ENSMUSG00000057738.9	9520	-0.193
ENSMUSG00000021047.6	4087	0.39
ENSMUSG00000046311.9	2231	-0.899
ENSMUSG00000031105.12	576	-0.413
ENSMUSG00000035984.10	45	0.523
ENSMUSG00000038248.8	487	0.379
ENSMUSG00000085562.3	34	0.645
ENSMUSG00000022636.9	1084	0.197
ENSMUSG00000013236.12	15918	-0.035
ENSMUSG00000037466.9	936	-0.171
ENSMUSG00000060279.9	3801	-0.163
ENSMUSG00000008658.11	1768	0.794
ENSMUSG00000023984.13	21	0.133
ENSMUSG00000030067.13	3137	0.577
ENSMUSG00000068663.9	1067	-0.099
ENSMUSG00000060261.11	8899	-0.05
ENSMUSG00000028689.10	288	-0.666
ENSMUSG00000032855.5	2032	0.58
ENSMUSG00000055078.6	80	-0.668
ENSMUSG00000083844.4	480	0.497
ENSMUSG00000058740.10	215	-0.605
ENSMUSG00000028218.15	1665	-0.077
ENSMUSG00000026811.14	301	0.502
ENSMUSG00000024381.11	2625	-0.211
ENSMUSG00000017677.7	12981	-0.154
ENSMUSG00000078247.3	96	0.831
ENSMUSG00000039218.12	12776	-0.225
ENSMUSG00000001120.11	2312	0.639
ENSMUSG00000023984.13	21	0.165
ENSMUSG00000024561.8	1096	0.196
ENSMUSG00000004631.11	1111	-0.197
ENSMUSG00000026150.10	5377	-0.11
ENSMUSG00000037211.8	258	0.259
ENSMUSG00000019320.9	112	0.654
ENSMUSG00000023089.8	1821	0.034
ENSMUSG00000026162.7	176	-0.231
ENSMUSG00000026959.9	354	0.578
ENSMUSG00000037624.11	421	-0.723
ENSMUSG00000038005.10	1447	0.089
ENSMUSG00000045962.12	2874	-0.283
ENSMUSG00000075415.9	1246	0.444
ENSMUSG00000024561.8	1096	0.191
ENSMUSG00000038005.10	1447	0.164
ENSMUSG00000040560.9	2233	-0.134
ENSMUSG00000059142.11	1280	0.415
ENSMUSG00000090394.4	44	0.512
ENSMUSG00000086288.1	171	-0.638
ENSMUSG00000024127.10	2476	0.132
ENSMUSG00000057969.11	171	0.71
ENSMUSG00000019920.13	2310	-0.055
ENSMUSG00000021458.12	1000	0.404
ENSMUSG00000000131.11	2612	0.699
ENSMUSG00000031256.7	3041	-0.219
ENSMUSG00000036817.10	1992	0.452
ENSMUSG00000029207.12	3329	-0.299
ENSMUSG00000017176.13	1848	-0.031
ENSMUSG00000034751.11	1456	-0.501
ENSMUSG00000043987.13	668	-0.658
ENSMUSG00000059142.11	1280	0.412
ENSMUSG00000052337.11	4587	-0.173
ENSMUSG00000074227.7	388	-0.13
ENSMUSG00000049606.12	2022	0.412
ENSMUSG00000022779.10	1533	0.326
ENSMUSG00000067786.12	51112	0.027
ENSMUSG00000017677.7	12981	-0.151
ENSMUSG00000032212.9	2067	-0.077
ENSMUSG00000028023.12	240	0.233
ENSMUSG00000020451.13	4215	-0.084
ENSMUSG00000037935.12	5799	0.326
ENSMUSG00000060424.10	1845	0.586
ENSMUSG00000041757.11	1980	-0.256
ENSMUSG00000083844.4	480	0.484
ENSMUSG00000043909.12	8720	0.159
ENSMUSG00000037151.7	531	0.238
ENSMUSG00000052337.11	4587	-0.181
ENSMUSG00000026860.12	1813	-0.099
ENSMUSG00000086363.3	89	0.711
ENSMUSG00000060261.11	8899	-0.105
ENSMUSG00000024561.8	1096	0.113
ENSMUSG00000028207.14	3194	-0.168
ENSMUSG00000038712.12	1695	0.316
ENSMUSG00000032387.10	197	-0.297
ENSMUSG00000021131.9	1780	0.124
ENSMUSG00000049606.12	2022	0.387
ENSMUSG00000022199.10	3915	-0.335
ENSMUSG00000026634.12	2646	-0.039
ENSMUSG00000031585.9	1922	-0.052
ENSMUSG00000031012.13	2633	-0.455
ENSMUSG00000037935.12	5799	0.255
ENSMUSG00000022838.9	18	0.722
ENSMUSG00000034088.11	4771	0.721
ENSMUSG00000031835.11	4677	0.098
ENSMUSG00000032502.8	68	0.491
ENSMUSG00000010608.11	7687	0.383
ENSMUSG00000009079.12	19718	-0.052
ENSMUSG00000056938.12	72	0.478
ENSMUSG00000037995.11	3183	0.101
ENSMUSG00000027601.9	1902	-0.117
ENSMUSG00000010406.7	1396	0.363
ENSMUSG00000042429.8	374	0.347
ENSMUSG00000070880.6	723	0.41
ENSMUSG00000038766.12	694	0.475
ENSMUSG00000029815.9	1536	0.141
ENSMUSG00000041607.12	720	0.645
ENSMUSG00000037386.11	1203	-0.152
ENSMUSG00000052337.11	4587	-0.127
ENSMUSG00000019920.13	2310	-0.046
ENSMUSG00000036932.10	1522	0.326
ENSMUSG00000041609.12	393	-0.37
ENSMUSG00000026771.10	588	0.249
ENSMUSG00000053768.9	1895	-0.163
ENSMUSG00000057766.9	141	0.401
ENSMUSG00000003573.11	2896	0.412
ENSMUSG00000051674.10	3069	0.639
ENSMUSG00000021694.14	592	0.545
ENSMUSG00000027900.11	1167	0.294
ENSMUSG00000052387.11	86	-0.472
ENSMUSG00000022570.5	1359	-0.53
ENSMUSG00000021302.9	1944	-0.096
ENSMUSG00000027259.11	922	0.114
ENSMUSG00000025437.11	3908	-0.095
ENSMUSG00000036902.9	2015	-0.268
ENSMUSG00000049606.12	2022	0.351
ENSMUSG00000022973.13	1633	0.383
ENSMUSG00000027680.11	1681	-0.188
ENSMUSG00000027630.9	1843	-0.664
ENSMUSG00000003810.8	1584	-0.273
ENSMUSG00000042323.12	8170	0.168
ENSMUSG00000049606.12	2022	0.344
ENSMUSG00000038145.12	1498	0.343
ENSMUSG00000015748.9	1418	-0.096
ENSMUSG00000009569.10	772	-0.053
ENSMUSG00000091625.4	479	0.227
ENSMUSG00000070880.6	723	0.326
ENSMUSG00000058267.9	1936	-0.762
ENSMUSG00000009418.11	3700	-0.434
ENSMUSG00000048440.11	456	0.23
ENSMUSG00000033004.10	3942	-0.2
ENSMUSG00000023945.6	402	0.311
ENSMUSG00000040183.9	1350	0.466
ENSMUSG00000002728.10	1348	-0.481
ENSMUSG00000030231.8	1320	-0.177
ENSMUSG00000074219.2	377	0.585
ENSMUSG00000023764.14	391	0.302
ENSMUSG00000024826.10	3939	-0.097
ENSMUSG00000070814.10	589	0.297
ENSMUSG00000021111.11	8105	-0.04
ENSMUSG00000022548.10	344	0.322
ENSMUSG00000023945.6	402	0.306
ENSMUSG00000024830.12	1217	-0.157
ENSMUSG00000030846.11	1396	-0.222
ENSMUSG00000029769.12	1065	-0.365
ENSMUSG00000013997.6	2062	-0.241
ENSMUSG00000036928.10	163	0.37
ENSMUSG00000063142.9	419	0.365
ENSMUSG00000021458.12	1000	0.343
ENSMUSG00000031996.12	10057	-0.117
ENSMUSG00000061689.11	4784	0.272
ENSMUSG00000058402.9	371	0.288
ENSMUSG00000021010.7	1426	-0.164
ENSMUSG00000022548.10	344	0.452
ENSMUSG00000014547.9	272	0.214
ENSMUSG00000033569.13	1200	0.179
ENSMUSG00000021870.13	1320	-0.386
ENSMUSG00000028689.10	288	-0.634
ENSMUSG00000034621.10	3055	-0.055
ENSMUSG00000053046.10	777	-0.384
ENSMUSG00000029267.13	3050	0.678
ENSMUSG00000037032.11	5599	-0.183
ENSMUSG00000063077.10	10191	-0.189
ENSMUSG00000057421.8	2263	-0.062
ENSMUSG00000037661.10	37	-0.452
ENSMUSG00000039842.11	667	0.204
ENSMUSG00000026811.14	301	0.452
ENSMUSG00000021240.5	364	0.252
ENSMUSG00000054708.13	244	0.568
ENSMUSG00000070814.10	589	0.286
ENSMUSG00000028519.12	1816	0.134
ENSMUSG00000041757.11	1980	0.292
ENSMUSG00000029769.12	1065	-0.212
ENSMUSG00000025932.10	355	-0.18
ENSMUSG00000033543.13	2010	0.322
ENSMUSG00000038880.9	1200	0.165
ENSMUSG00000037400.12	1416	-0.107
ENSMUSG00000037470.10	3443	-0.129
ENSMUSG00000032463.6	1112	-0.22
ENSMUSG00000021772.10	2360	-0.239
ENSMUSG00000020083.9	844	-0.452
ENSMUSG00000040640.9	1357	-0.503
ENSMUSG00000034647.10	1733	-0.367
ENSMUSG00000086968.4	626	0.457
ENSMUSG00000042524.9	316	0.228
ENSMUSG00000022199.10	3915	-0.198
ENSMUSG00000060450.9	5060	0.24
ENSMUSG00000024663.13	758	-0.135
ENSMUSG00000097023.4	2137	0.074
ENSMUSG00000000884.12	186	0.5
ENSMUSG00000034462.9	1091	0.192
ENSMUSG00000029001.11	1311	0.178
ENSMUSG00000025278.8	1920	-0.114
ENSMUSG00000027574.11	1019	0.064
ENSMUSG00000030302.12	1314	-0.336
ENSMUSG00000040123.12	1309	-0.168
ENSMUSG00000061689.11	4784	0.3
ENSMUSG00000021268.13	20102	0.319
ENSMUSG00000029924.9	2036	0.389
ENSMUSG00000032582.10	3926	-0.619
ENSMUSG00000037995.11	3183	0.067
ENSMUSG00000033902.11	236	-0.428
ENSMUSG00000057110.11	1372	-0.15
ENSMUSG00000036644.11	2251	-0.244
ENSMUSG00000024843.11	2184	-0.421
ENSMUSG00000019920.13	2310	-0.042
ENSMUSG00000071266.9	978	-0.213
ENSMUSG00000010608.11	7687	0.478
ENSMUSG00000097023.4	2137	0.102
ENSMUSG00000028184.8	5407	-0.166
ENSMUSG00000075415.9	1246	0.208
ENSMUSG00000031090.10	220	0.473
ENSMUSG00000038880.9	1200	0.085
ENSMUSG00000025237.11	4213	-0.159
ENSMUSG00000044328.9	513	0.355
ENSMUSG00000024227.10	55	0.463
ENSMUSG00000022607.10	3848	-0.101
ENSMUSG00000051331.10	419	0.825
ENSMUSG00000046351.6	2194	0.209
ENSMUSG00000029027.4	241	-0.183
ENSMUSG00000038695.8	718	-0.296
ENSMUSG00000024331.7	74	0.512
ENSMUSG00000009995.13	1883	0.132
ENSMUSG00000074863.4	13	0.635
ENSMUSG00000030960.12	992	0.088
ENSMUSG00000004880.7	4223	-0.03
ENSMUSG00000042429.8	374	0.252
ENSMUSG00000035469.13	3966	-0.45
ENSMUSG00000063142.9	419	0.327
ENSMUSG00000038116.12	1937	-0.093
ENSMUSG00000042590.12	2448	-0.118
ENSMUSG00000027254.9	1321	-0.218
ENSMUSG00000028708.12	626	-0.524
ENSMUSG00000027035.6	3482	-0.233
ENSMUSG00000004846.6	1421	-0.284
ENSMUSG00000090086.3	542	0.413
ENSMUSG00000031068.7	3159	-0.026
ENSMUSG00000036469.12	429	0.294
ENSMUSG00000031543.14	184	-0.384
ENSMUSG00000057147.9	591	0.21
ENSMUSG00000023882.11	96	-0.663
ENSMUSG00000028093.11	311	-0.301
ENSMUSG00000025237.11	4213	-0.072
ENSMUSG00000038762.11	3392	-0.019
ENSMUSG00000097225.3	252	0.237
ENSMUSG00000035069.3	285	0.697
ENSMUSG00000042429.8	374	0.25
ENSMUSG00000042350.9	1884	0.621
ENSMUSG00000000296.7	354	-0.585
ENSMUSG00000006476.15	2834	0.279
ENSMUSG00000028990.9	1002	-0.342
ENSMUSG00000033419.11	3114	0.244
ENSMUSG00000001870.11	581	0.24
ENSMUSG00000030180.11	4411	0.115
ENSMUSG00000018363.12	1072	0.331
