tissue	timepoint	accuracy	Precision	recall	f1	auc
forebrain	12.5day	0.5264	0.83015167	0.553730481	0.649373428	0.524031546
forebrain	13.5day	0.590752573	0.154175936	0.629977266	0.244533771	0.538600668
forebrain	14.5day	0.635151515	0.204802101	0.668175634	0.305423221	0.604388167
forebrain	15.5day	0.599148936	0.12511969	0.585698925	0.202889415	0.56629762
forebrain	16.5day	0.619789044	0.069160328	0.529678363	0.12042017	0.53044309
heart	12.5day	0.616651611	0.996153846	0.617322343	0.760693191	0.514096737
heart	13.5day	0.623137255	0.979487179	0.63469281	0.765166825	0.497230721
heart	14.5day	0.496502732	0.645672803	0.531135553	0.563409962	0.541021078
heart	15.5day	0.621709402	0.992592593	0.623471854	0.765564589	0.507613169
heart	16.5day	0.597522523	1	0.596093951	0.746118203	0.509698529
hindbrain	12.5day	0.530214581	0.276379256	NA	NA	0.527620348
hindbrain	13.5day	0.625853459	0.10990579	0.55200581	0.179765357	0.580355589
hindbrain	14.5day	0.628861789	0.117636946	0.637541914	0.196830042	0.567410397
hindbrain	15.5day	0.630158494	0.146493149	0.616938776	0.235724299	0.576150932
hindbrain	16.5day	0.593267183	0.078929932	0.514171551	0.130298119	0.546964057
limb	12.5day	0.520957592	1	0.520957592	0.684543367	0.509722222
limb	13.5day	0.57029703	0.020262664	NA	NA	0.53091031
limb	14.5day	0.564948376	0.009010989	NA	NA	0.49907986
limb	15.5day	0.577044674	0.002469136	NA	NA	0.526981002
liver	12.5day	0.587654321	0.90663396	0.603215637	0.716560517	0.52605262
liver	13.5day	0.536345853	0.646738817	0.553742316	0.593184986	0.587166306
liver	14.5day	0.472340426	0.714989358	0.502473547	0.567972475	0.527460637
liver	15.5day	0.543245614	0.268329897	NA	NA	0.556704187
liver	16.5day	0.533845965	0.163135593	NA	NA	0.512684912
midbrain	12.5day	0.58043871	0.015535445	NA	NA	0.519924334
midbrain	13.5day	0.630952381	0.048928225	NA	NA	0.519222443
midbrain	14.5day	0.64760702	0.098417162	0.559813187	0.167036069	0.581508693
midbrain	15.5day	0.616770375	0.058161166	0.565656113	0.101945532	0.538468462
midbrain	16.5day	0.622543783	0.069194709	0.565438596	0.121974744	0.555831509
neuraltube	12.5day	0.550349903	0.750162708	0.567862419	0.63795737	0.563919455
neuraltube	13.5day	0.610813397	0.074611669	NA	NA	0.560208406
neuraltube	14.5day	0.645661661	0.052184085	NA	NA	0.555799347
neuraltube	15.5day	0.591803213	0.057619642	0.780701754	0.099814023	0.542978108
