tissue	timepoint	accuracy	Precision	recall	f1	auc
forebrain	12.5day	0.5664	0.653747790229987	0.596256498399186	0.61706895197296	0.635377122864762
forebrain	13.5day	0.671589523484368	0.445936179647332	0.688459368968678	0.54013369681742	0.712932208863953
forebrain	14.5day	0.703636363636364	0.390480329115535	0.754782521817144	0.513594074521208	0.721699984558028
forebrain	15.5day	0.670580141843972	0.396757154484137	0.679626378212823	0.49891227770843	0.717477857172297
forebrain	16.5day	0.702216892375374	0.307705918518824	0.785047704905717	0.441182265085502	0.726845759203756
heart	12.5day	0.61674194519723	0.821569827441381	0.650156242488342	0.723957375385634	0.595590979109298
heart	13.5day	0.643058823529412	0.900511413873483	0.661228237842568	0.758207082048157	0.605135380299361
heart	14.5day	0.641475409836066	0.686061705989111	0.653486586942469	0.6650876166125	0.713908081401891
heart	15.5day	0.6395115995116	0.86340600105601	0.66371855264053	0.749023369552349	0.650758538207467
heart	16.5day	0.624308236808237	0.818059675280771	0.646372029781625	0.72051376887888	0.654657458976996
hindbrain	12.5day	0.580674396907904	0.518245042831674	0.576324506410751	0.543877860566515	0.632990919928523
hindbrain	13.5day	0.689946786737618	0.362130417272049	0.684839427518566	0.471416221320189	0.717333845480265
hindbrain	14.5day	0.714634146341463	0.388796737771224	0.764424854933349	0.515378410390905	0.750468514475285
hindbrain	15.5day	0.699772238093375	0.361936460779774	0.737234332140549	0.483088173533835	0.746309877786241
hindbrain	16.5day	0.686878631686647	0.392211962335037	0.701011339291307	0.500801469278925	0.744757030533318
limb	12.5day	0.605143638850889	0.667922822749822	0.611629498954767	0.635103696564958	0.682748906802901
limb	13.5day	0.60990099009901	0.320750184774575	0.557242757242757	0.406569092462271	0.619255716261627
limb	14.5day	0.673978752057459	0.467578181153829	0.67056140989989	0.548941413250887	0.720870780311519
limb	15.5day	0.639629923341264	0.36292392034521	0.645861345742633	0.456680150172659	0.689278229677337
liver	12.5day	0.644444444444444	0.851660974684231	0.650168060210251	0.734680705986774	0.649330545165321
liver	13.5day	0.586580594679186	0.574069264069264	0.612354869777737	0.590570735899763	0.653775653358987
liver	14.5day	0.523404255319149	0.607161714213676	0.537390735398637	0.56325097460775	0.584406162393067
liver	15.5day	0.593355263157895	0.492282540154881	0.555434487572221	0.52016618148767	0.679843480720869
liver	16.5day	0.605880905511811	0.498868959701282	0.582005700814261	0.53281954887218	0.6593552766807
midbrain	12.5day	0.590167741935484	0.263760636330004	0.523777946191739	0.349509263221287	0.589938460360513
midbrain	13.5day	0.710714285714286	0.33064323903462	0.747346865939504	0.457474003018023	0.722729761127679
midbrain	14.5day	0.722245131139232	0.329947724689506	0.771987847098613	0.461061281148506	0.735476278156346
midbrain	15.5day	0.692500062101001	0.325441948643781	0.729569879132746	0.446206819233598	0.728502761846887
midbrain	16.5day	0.701266331896067	0.324190460053891	0.756997144022848	0.452280800237662	0.732287362172699
neuraltube	12.5day	0.591054036505303	0.708375310031725	0.606458173859136	0.650459519042977	0.649427753953848
neuraltube	13.5day	0.665501165501165	0.323563730955035	0.643256061045108	0.427430090560228	0.709840870371359
neuraltube	14.5day	0.718067413691421	0.267956053963087	0.817681724907161	0.40199134835716	0.726686841653614
neuraltube	15.5day	0.676470529748648	0.418254095577625	0.686253115999675	0.515882229464995	0.731031263715059
