tissue	timepoint	cor	p.value
forebrain	12.5	0	0.999845167963187
forebrain	13.5	0	0.56856121571638
forebrain	14.5	0.01	0.3437827547663
forebrain	15.5	0	0.399666178896693
forebrain	16.5	0.01	0.059252888085349
heart	12.5	0	0.697716146851872
heart	13.5	-0.01	0.257174651740774
heart	14.5	0.01	0.301610730080867
heart	15.5	0.01	0.126272900034667
heart	16.5	0.02	8.89699172990494e-06
hindbrain	12.5	0.01	0.296768735551579
hindbrain	13.5	0.01	0.0903739984822755
hindbrain	14.5	0	0.93867035391633
hindbrain	15.5	0.01	0.270676764547945
hindbrain	16.5	0.01	0.0326460350082102
limb	12.5	0.01	0.0503574523881559
limb	13.5	0.01	0.268221828157372
limb	14.5	0	0.642234881262191
limb	15.5	0.01	0.167982800644872
liver	12.5	0	0.672283044859932
liver	13.5	0	0.468505051681707
liver	14.5	0.01	0.103479760289375
liver	15.5	0	0.51063353944307
liver	16.5	0	0.572872712719693
midbrain	12.5	0.01	0.210356659861637
midbrain	13.5	0.02	0.000410247523912606
midbrain	14.5	0.01	0.0233949714484155
midbrain	15.5	0.02	0.000933524928932687
midbrain	16.5	0.01	0.00339279168026561
neuraltube	12.5	0	0.398095309673897
neuraltube	13.5	0	0.677482543261697
neuraltube	14.5	0	0.790337678793235
neuraltube	15.5	0	0.862484039809516
